country_consuming,sector_consuming,analysis_year,stressor,healthcare_supply_chain,national_supply_chain,model
DNK,health_and_eldercare,2022,PM10 - non combustion - Production of gascoke - air,188.63909068468612,5944.172569588529,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,"PM10 - non combustion - Refined copper; unwrought, not alloyed - air",199.6892377300741,5273.063586269864,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,"PM10 - non combustion - Refined lead, unwrought - air",90.01682155764004,2199.3350421488417,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,"PM10 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",7282.848932070476,187713.23072450343,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Silver ores and concentrates - air,0.029075761496338042,0.6712083722416726,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Steel production: basic oxygen furnace - air,113787.7675446022,3843671.7442491646,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Steel production: electric arc furnace - air,27195.564907659067,1008830.8381712027,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Steel production: open hearth furnace - air,23890.818918260997,668981.8641329042,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Tin ores and concentrates - air,0.5188263469410982,12.66509343926552,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,186.00819489360424,4802.244157937109,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM10 - non combustion - Zinc ores and concentrates - air,20.07778791972356,405.8795103158227,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,"PM10 - non combustion - Zinc, unwrought, not alloyed - air",176.64747882355442,4299.110269233321,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Agglomeration plant - pellets - air,7880.306644945536,301567.0903966173,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Agglomeration plant - sinter - air,53305.5735867564,1712143.4109015933,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Aluminium ores and concentrates (Bauxite) - air,34.86507851648224,823.324082758825,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Bricks production - air,45799.32426701073,1059519.4906236052,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Briquettes production - air,36.01349205396551,651.1619460409589,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Carbon black production - air,21643.72968606174,15850.750568639804,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Cast iron production (grey iron foundries) - air,9208.915484929923,362820.8092723774,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Cement production - air,89671.64181331883,3288970.7667882103,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,"PM2.5 - non combustion - Chemical wood pulp, dissolving grades - air",429.910072533193,6840.029247424725,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,"PM2.5 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",5231.355904001373,86709.23221185898,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,"PM2.5 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",640.82659654508,9284.013829939691,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Chromium ores and concentrates - air,5.998493026232144,113.26514201793394,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Copper ores and concentrates - air,18.367505793073548,258.0266388556237,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Fertilizer production (N-fertilizer) - air,13162.267571163398,105621.2289209376,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Glass production - air,15.623293868753636,379.097487022291,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Gold ores and concentrates - air,0.0003557853531762021,0.00752322983750294,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Iron ores and concentrates - air,353.5532705095662,9394.490067499471,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,2022,PM2.5 - non combustion - Lead ores and concentrates - air,3.292902562671656,57.50795605878066,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
