method,indicator,unit,producing_sector_group,value
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Food and catering,10.788420897371575
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Furniture and timber,0.09226826422953373
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,General and special Machinery,0.2863114643369483
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Metal Products,174.61776565244102
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Minerals and Metals,1.9120643178927832
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Natural gas and gaseous fuels,0.06971752841332003
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Non-metallic mineral products,0.23035973924354194
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Paper Products,0.736345404895001
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Services,3.2628235395422482
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,"Steam, hot water supply and water distribution",2.4228123916181183
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Textile,0.10705364601940767
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Transport,1552.603748701693
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Transport Equipment,0.18020921405532342
ECOINDICATOR 99 (H.A),Carcinogenic effects on humans (H.A),DALY,Waste management and disposal,0.5736935770919784
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Chemical,18082876.930156592
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Coal and Petroleum,7242697.923087393
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Construction,23524.548904422587
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,"Electrical, electronic and measuring equipment",978894.1494149243
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Electricity,2070480.9880217058
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Food and catering,6614679.198781427
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Furniture and timber,93224.39059631874
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,General and special Machinery,255985.6968073438
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Metal Products,152606693.07878515
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Minerals and Metals,1792911.721557357
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Natural gas and gaseous fuels,58019.129059927836
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Non-metallic mineral products,211210.7939449886
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Paper Products,668324.8530758355
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Services,2759564.1701879515
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,"Steam, hot water supply and water distribution",861269.2714872337
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Textile,86096.87715088
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Transport,142093246.6740112
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Transport Equipment,162287.4178654707
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by ecotoxic emissions (H.A),PDF*m2*yr,Waste management and disposal,525253.9782948067
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Chemical,16099084.319317859
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Coal and Petroleum,4830470.327195139
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Construction,62460.25012494362
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,"Electrical, electronic and measuring equipment",495019.2477024522
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Electricity,7386041.657759813
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Food and catering,101152538.98592599
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Furniture and timber,437354.3601113782
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,General and special Machinery,84853.21231389293
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Metal Products,4921237.872055046
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Minerals and Metals,2426314.12279416
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Natural gas and gaseous fuels,698773.7072555795
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Non-metallic mineral products,1598829.709603939
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Paper Products,1268019.6143957325
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Services,3530123.598877446
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,"Steam, hot water supply and water distribution",3529127.9596135975
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Textile,18685697.77307587
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Transport,62651640.39667336
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Transport Equipment,109242.20513800622
ECOINDICATOR 99 (H.A),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A),PDF*m2*yr,Waste management and disposal,9359858.723316628
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Chemical,77.31412339410785
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Coal and Petroleum,106.58862026804967
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Construction,0.8902078458010064
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,"Electrical, electronic and measuring equipment",3.6461686940157505
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Electricity,88.40976131419127
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Food and catering,118.95552672260493
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Furniture and timber,2.3313347028654112
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,General and special Machinery,0.5723703084846586
ECOINDICATOR 99 (H.A),Damages to human health caused by climate change (H.A),DALY,Metal Products,14.195904691292473
