year,using_industry,product,origin,unit,value
2016,Q86,CPA_C16,MX,MIO_EUR,0.0
2016,Q86,CPA_C16,RS,MIO_EUR,0.0
2016,Q86,CPA_C16,SA,MIO_EUR,0.0
2016,Q86,CPA_C16,SI,MIO_EUR,0.0
2016,Q86,CPA_C16,ZA,MIO_EUR,0.0
2016,Q86,CPA_C17,SE,MIO_EUR,5.875
2016,Q86,CPA_C17,DE,MIO_EUR,4.726
2016,Q86,CPA_C17,DK,MIO_EUR,2.348
2016,Q86,CPA_C17,NL,MIO_EUR,1.561
2016,Q86,CPA_C17,WRL_REST,MIO_EUR,1.185
2016,Q86,CPA_C17,NO,MIO_EUR,1.13
2016,Q86,CPA_C17,FI,MIO_EUR,1.065
2016,Q86,CPA_C17,PL,MIO_EUR,0.804
2016,Q86,CPA_C17,US,MIO_EUR,0.747
2016,Q86,CPA_C17,FR,MIO_EUR,0.508
2016,Q86,CPA_C17,IT,MIO_EUR,0.474
2016,Q86,CPA_C17,ES,MIO_EUR,0.408
2016,Q86,CPA_C17,UK,MIO_EUR,0.365
2016,Q86,CPA_C17,CN,MIO_EUR,0.255
2016,Q86,CPA_C17,BE,MIO_EUR,0.253
2016,Q86,CPA_C17,CZ,MIO_EUR,0.201
2016,Q86,CPA_C17,AT,MIO_EUR,0.188
2016,Q86,CPA_C17,HU,MIO_EUR,0.155
2016,Q86,CPA_C17,TR,MIO_EUR,0.112
2016,Q86,CPA_C17,PT,MIO_EUR,0.081
2016,Q86,CPA_C17,LT,MIO_EUR,0.08
2016,Q86,CPA_C17,SK,MIO_EUR,0.079
2016,Q86,CPA_C17,KR,MIO_EUR,0.063
2016,Q86,CPA_C17,CH,MIO_EUR,0.054
2016,Q86,CPA_C17,MX,MIO_EUR,0.053
2016,Q86,CPA_C17,RU,MIO_EUR,0.052
2016,Q86,CPA_C17,JP,MIO_EUR,0.038
2016,Q86,CPA_C17,LV,MIO_EUR,0.038
2016,Q86,CPA_C17,IN,MIO_EUR,0.032
2016,Q86,CPA_C17,CA,MIO_EUR,0.03
2016,Q86,CPA_C17,EE,MIO_EUR,0.028
2016,Q86,CPA_C17,ID,MIO_EUR,0.026
2016,Q86,CPA_C17,RS,MIO_EUR,0.026
2016,Q86,CPA_C17,SI,MIO_EUR,0.021
2016,Q86,CPA_C17,EL,MIO_EUR,0.02
2016,Q86,CPA_C17,AU,MIO_EUR,0.019
2016,Q86,CPA_C17,BR,MIO_EUR,0.017
2016,Q86,CPA_C17,ZA,MIO_EUR,0.016
2016,Q86,CPA_C17,BG,MIO_EUR,0.015
2016,Q86,CPA_C17,IE,MIO_EUR,0.015
2016,Q86,CPA_C17,RO,MIO_EUR,0.012
2016,Q86,CPA_C17,HR,MIO_EUR,0.01
2016,Q86,CPA_C17,LU,MIO_EUR,0.01
2016,Q86,CPA_C17,AR,MIO_EUR,0.004
2016,Q86,CPA_C17,SA,MIO_EUR,0.004
2016,Q86,CPA_C17,MT,MIO_EUR,0.002
2016,Q86,CPA_C17,CY,MIO_EUR,0.001
