exiobase_position,exiobase_code,exiobase_name,exiobase_code1,isic_rev3_division,isic_rev3_division_bronze_csv,nace_rev2_candidates_developer,dst_nace_prefix,dst_industry_code,dst_industry_name,mapping_type,confidence,basis,mapping_group,dst_output_share,dst_import_share,mapping_group_label,mapping_group_type
101,POWB,Production of electricity by biomass and waste,i40.11.g,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
102,POWS,Production of electricity by solar photovoltaic,i40.11.h,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
103,POWE,Production of electricity by solar thermal,i40.11.i,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
104,POWO,"Production of electricity by tide, wave, ocean",i40.11.j,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
105,POWM,Production of electricity by Geothermal,i40.11.k,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
106,POWZ,Production of electricity nec,i40.11.l,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
107,POWT,Transmission of electricity,i40.12,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
108,POWD,Distribution and trade of electricity,i40.13,40,40,35,35,350010,Production and distribution of electricity,many-to-one,high,"NACE rev.2 35.1, DST 'Production and distribution of electricity'; EXIOBASE's fourteen generation, transmission and distribution activities have no DST counterpart individually",31,1.000000,1.000000,NACE 35 (POWC),many-to-one
109,GASD,Manufacture of gas; distribution of gaseous fuels through mains,i40.2,40,,35,35,350020,Manufacture and distribution of gas,one-to-one,high,"NACE rev.2 35.2, DST 'Manufacture and distribution of gas'",32,1.000000,1.000000,NACE 35 (GASD),one-to-one
110,HWAT,Steam and hot water supply,i40.3,40,40,35,35,350030,Steam and hot water supply,one-to-one,high,"NACE rev.2 35.3, DST 'Steam and hot water supply'",33,1.000000,1.000000,NACE 35 (HWAT),one-to-one
111,WATR,"Collection, purification and distribution of water (41)",i41,41,41,36,36,360000,"Water collection, purification and supply",one-to-one,high,ISIC rev.3 41 -> NACE rev.2 36,34,1.000000,1.000000,NACE 36 (WATR),one-to-one
112,CONS,Construction (45),i45,45,45,41 42 43,41;42;43,410009;420000;430003;430004,Construction of new buildings;Civil engeneering;Professionel repair and maintenance of buildings;Own-account repair and maintenance of buildings,one-to-many,high,"ISIC rev.3 45 -> NACE rev.2 41, 42 and 43; agrees with the seed group",35,0.304774;0.243918;0.323111;0.128197,0.052863;0.887092;0.047681;0.012364,NACE 41;42;43 (CONS),many-to-many
113,CONW,Re-processing of secondary construction material into aggregates,i45.w,45,45,41 42 43,41;42;43,410009;420000;430003;430004,Construction of new buildings;Civil engeneering;Professionel repair and maintenance of buildings;Own-account repair and maintenance of buildings,one-to-many,medium,"developer table 41 42 43 for this hybrid construction-aggregate activity, although NACE rev.2 would place materials recovery in 38.32",35,0.304774;0.243918;0.323111;0.128197,0.052863;0.887092;0.047681;0.012364,NACE 41;42;43 (CONS),many-to-many
114,TDMO,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",i50.a,50,50,45,45,450010;450020,Sale of motor vehicles;Repair and maintenance of motor vehicles etc.,one-to-many,high,"ISIC rev.3 50.1-50.4 -> NACE rev.2 45, which DST splits into sale and repair of motor vehicles",36,0.555127;0.444873,0.181547;0.818453,NACE 45 (TDMO),one-to-many
115,TDFU,Retail sale of automotive fuel,i50.b,50,50,,47,470000,Retail sale,many-to-one,high,no developer-table entry; NACE rev.1.1 50.5 retail sale of automotive fuel moved to NACE rev.2 47.30,37,1.000000,1.000000,NACE 47;95 (TDFU),many-to-many
116,TDWH,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",i51,51,51,46,46,460000,Wholesale,one-to-one,high,ISIC rev.3 51 -> NACE rev.2 46,38,1.000000,1.000000,NACE 46 (TDWH),one-to-one
117,TDRT,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",i52,52,52,47 95,47;95,470000;950000,Retail sale;Repair of personal goods,one-to-many,high,"ISIC rev.3 52 -> NACE rev.2 47 retail trade and 95.2 repair of personal and household goods, developer table 47 95",37,0.961085;0.038915,0.666340;0.333660,NACE 47;95 (TDFU),many-to-many
118,HORE,Hotels and restaurants (55),i55,55,55,55 56,55;56,550000;560000,Hotels and similar accommodation;Restaurants,one-to-many,high,ISIC rev.3 55 -> NACE rev.2 55 accommodation and 56 food service,39,0.241763;0.758237,0.887818;0.112182,NACE 55;56 (HORE),one-to-many
119,TRAI,Transport via railways,i60.1,60,60,49,49,490010;490020,"Passenger rail transport, interurban;Transport by suburban trains, buses and taxi operation, etc.",one-to-many,medium,"ISIC rev.3 60.1 rail -> NACE rev.2 49.1/49.2 = DST 490010 and the suburban-rail part of 49.31 = DST 490020, so a weight is needed",40,0.229454;0.770546,0.833939;0.166061,NACE 49 (TLND),many-to-many
120,TLND,Other land transport,i60.2,60,60,49,49,490020;490030,"Transport by suburban trains, buses and taxi operation, etc.;Freight transport by road and via pipeline",one-to-many,high,ISIC rev.3 60.2 other land transport -> NACE rev.2 49.3 passenger and 49.4 road freight,40,0.321011;0.678989,0.003787;0.996213,NACE 49 (TLND),many-to-many
121,TPIP,Transport via pipelines,i60.3,60,60,49,49,490030,Freight transport by road and via pipeline,many-to-one,high,"ISIC rev.3 60.3 -> NACE rev.2 49.5, and DST 490030 is named 'Freight transport by road and via pipeline'",40,1.000000,1.000000,NACE 49 (TLND),many-to-many
122,TWAS,Sea and coastal water transport,i61.1,61,61,50,50,500000,Water transport,many-to-one,high,ISIC rev.3 61.1 and 61.2 -> NACE rev.2 50; DST has one water-transport industry; agrees with the seed group,41,1.000000,1.000000,NACE 50 (TWAS),many-to-one
123,TWAI,Inland water transport,i61.2,61,61,50,50,500000,Water transport,many-to-one,high,ISIC rev.3 61.1 and 61.2 -> NACE rev.2 50; DST has one water-transport industry; agrees with the seed group,41,1.000000,1.000000,NACE 50 (TWAS),many-to-one
124,TAIR,Air transport (62),i62,62,62,51,51,510000,Air transport,one-to-one,high,ISIC rev.3 62 -> NACE rev.2 51,42,1.000000,1.000000,NACE 51 (TAIR),one-to-one
125,TAUX,Supporting and auxiliary transport activities; activities of travel agencies (63),i63,63,63,52 79,52;79,520000;790000,Support activities for transportation;Travel agent activities,one-to-many,high,"ISIC rev.3 63 -> NACE rev.2 52 support activities for transportation and 79 travel agencies, developer table 52 79",43,0.862135;0.137865,1.000000;0.000000,NACE 52;79 (TAUX),one-to-many
126,PTEL,Post and telecommunications (64),i64,64,64,53 61,53;61,530000;610000,Postal and courier activities;Telecommunications,one-to-many,high,"ISIC rev.3 64 -> NACE rev.2 53 postal and courier and 61 telecommunications, developer table 53 61; the seed group names 61 only",44,0.279671;0.720329,0.085636;0.914364,NACE 53;61 (PTEL),one-to-many
127,FINT,"Financial intermediation, except insurance and pension funding (65)",i65,65,65,64,64,640010;640020,"Monetary intermediation;Mortgage credit institutes, etc.",one-to-many,high,"ISIC rev.3 65 -> NACE rev.2 64, which DST splits into monetary intermediation and mortgage credit",45,0.540389;0.459611,0.817585;0.182415,NACE 64 (FINT),one-to-many
128,FINS,"Insurance and pension funding, except compulsory social security (66)",i66,66,66,65,65,650000,Insurance and pension funding,one-to-one,high,ISIC rev.3 66 -> NACE rev.2 65,46,1.000000,1.000000,NACE 65 (FINS),one-to-one
129,FAUX,Activities auxiliary to financial intermediation (67),i67,67,67,66,66,660000,Other financial activities,one-to-one,high,ISIC rev.3 67 -> NACE rev.2 66,47,1.000000,1.000000,NACE 66 (FAUX),one-to-one
130,REAL,Real estate activities (70),i70,70,70,68,68,680010;680030;680023;680024,Buying and selling of real estate;Renting of non-residential buildings;Renting of residential buildings;Owner-occupied dwellings,one-to-many,high,"ISIC rev.3 70 -> NACE rev.2 68, which DST splits four ways including owner-occupied dwellings",48,0.066869;0.234596;0.302149;0.396386,0.810220;0.189780;0.000000;0.000000,NACE 68 (REAL),one-to-many
131,MARE,Renting of machinery and equipment without operator and of personal and household goods (71),i71,71,71,77,77,770000,Rental and leasing activities,one-to-one,high,ISIC rev.3 71 -> NACE rev.2 77,49,1.000000,1.000000,NACE 77 (MARE),one-to-one
132,COMP,Computer and related activities (72),i72,72,72,58 62 63 95,58;62;63,580020;620000;630000,Publishing of computer games and other software;Information technology service activities;Information service activities,one-to-many,high,"ISIC rev.3 72 -> NACE rev.2 62 IT services, 63.1 information services and 58.2 software publishing, developer table 58 62 63",50,0.139536;0.721499;0.138965,0.175238;0.728560;0.096202,NACE 58;62;63 (COMP),one-to-many
133,RESD,Research and development (73),i73,73,73,72,72,720001;720002,Scientific research and development (market);Scientific research and development (non-market),one-to-many,high,"ISIC rev.3 73 -> NACE rev.2 72, which DST splits into market and non-market research",51,0.941849;0.058151,1.000000;0.000000,NACE 72 (RESD),one-to-many
134,OBUS,Other business activities (74),i74,74,74,63 64 69 70 71 73 74 77 78 80 81 82 85,69;70;71;73;74;78;80;81;82,690010;690020;700000;710000;730000;740000;780000;800000;810000;820000,"Legal activities;Accounting and bookkeeping activities;Business consultancy activities;Architectural and engineering activities;Advertising and market research;Other technical business services;Employment activities;Security and investigation activities;Services to buildings, cleaning and landscape activities;Other business service activities",one-to-many,high,"ISIC rev.3 74 is the largest split in NACE rev.2: divisions 69 legal and accounting, 70 management consultancy, 71 architecture and engineering, 73 advertising, 74 other professional, 78 employment, 80 security, 81 building services and 82 business support, all listed in the developer table",52,0.055354;0.075144;0.190899;0.248664;0.063429;0.073148;0.101553;0.017427;0.095010;0.079371,0.023488;0.056998;0.107240;0.151278;0.500367;0.013358;0.014928;0.007223;0.002633;0.122485,NACE 69;70;71;73;74;78;80;81;82 (OBUS),one-to-many
135,PADF,Public administration and defence; compulsory social security (75),i75,75,75,84,84,840010;840022;840021,"Public administration;Defence, public order, security and justice activities (non-market);Rescue service ect. (market)",one-to-many,high,ISIC rev.3 75 -> NACE rev.2 84; agrees with the seed group,53,0.654246;0.317719;0.028034,0.000000;0.000000;1.000000,NACE 84 (PADF),one-to-many
136,EDUC,Education (80),i80,80,80,85,85,850010;850020;850030;850042;850041,Primary education;Secondary education;Higher education;Adult and other education (non-market);Adult and other education (market),one-to-many,high,"ISIC rev.3 80 -> NACE rev.2 85, which DST splits five ways; agrees with the seed group",54,0.399837;0.212655;0.311687;0.040376;0.035445,0.000000;0.000000;0.000000;0.000000;1.000000,NACE 85 (EDUC),one-to-many
137,HEAL,Health and social work (85),i85,85,85,75 86 87 88,75;86;87;88,750000;860010;860020;870000;880000,Veterinary activities;Hospital activities;Medical and dental practice activities;Residential care activities;Social work activities without accommodation,one-to-many,high,"ISIC rev.3 85 covers human health 85.1, veterinary 85.2 and social work 85.3, which NACE rev.2 splits into 86, 75 and 87/88; developer table 75 86 87 88; the seed group names 86, 87 and 88 only",55,0.011628;0.366894;0.156946;0.220614;0.243919,0.000685;0.766708;0.232607;0.000000;0.000000,NACE 75;86;87;88 (HEAL),one-to-many
138,INCF,Incineration of waste: Food,i90.1.a,90,90,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
139,INCP,Incineration of waste: Paper,i90.1.b,90,90,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
140,INCL,Incineration of waste: Plastic,i90.1.c,90,90,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
141,INCM,Incineration of waste: Metals and Inert materials,i90.1.d,90,90,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
142,INCT,Incineration of waste: Textiles,i90.1.e,90,90,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
143,INCW,Incineration of waste: Wood,i90.1.f,90,90,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
144,INCO,Incineration of waste: Oil/Hazardous waste,i90.1.g,90,90,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
145,BIOF,"Biogasification of food waste, incl. land application",i90.2.a,90,,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
146,BIOP,"Biogasification of paper, incl. land application",i90.2.b,90,,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
147,BIOS,"Biogasification of sewage slugde, incl. land application",i90.2.c,90,,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
148,COMF,"Composting of food waste, incl. land application",i90.3.a,90,90,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
149,COMW,"Composting of paper and wood, incl. land application",i90.3.b,90,90,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
150,WASF,"Waste water treatment, food",i90.4.a,90,90,37,37,370000,Sewerage,many-to-one,high,"developer table 37, NACE rev.2 37 sewerage, DST 'Sewerage'",56,1.000000,1.000000,NACE 37 (WASF),many-to-one
151,WASO,"Waste water treatment, other",i90.4.b,90,90,37,37,370000,Sewerage,many-to-one,high,"developer table 37, NACE rev.2 37 sewerage, DST 'Sewerage'",56,1.000000,1.000000,NACE 37 (WASF),many-to-one
152,LANF,Landfill of waste: Food,i90.5.a,90,90,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
153,LANP,Landfill of waste: Paper,i90.5.b,90,90,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
154,LANL,Landfill of waste: Plastic,i90.5.c,90,,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
155,LANI,Landfill of waste: Inert/metal/hazardous,i90.5.d,90,,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
156,LANT,Landfill of waste: Textiles,i90.5.e,90,,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
157,LANW,Landfill of waste: Wood,i90.5.f,90,,38 39,38,383900,Waste management and materials recovery,many-to-one,high,"developer table 38 39, NACE rev.2 38.2 waste treatment and disposal; EXIOBASE's eighteen fraction-specific treatment activities all land in the single DST industry 383900",30,1.000000,1.000000,NACE 38 (RYMS),many-to-one
158,ORGA,Activities of membership organisation n.e.c. (91),i91,91,91,94,94,940000,Activities of membership organizations,one-to-one,high,ISIC rev.3 91 -> NACE rev.2 94,57,1.000000,1.000000,NACE 94 (ORGA),one-to-one
159,RECR,"Recreational, cultural and sporting activities (92)",i92,92,92,59 60 63 79 90 91 92 93,59;60;90;91;92;93,590000;600000;900000;910001;910002;920000;930011;930012;930020,"Motion picture and television programme production, and sound recording activities;Radio and television broadcasting;Theatres, concerts, and arts activities;Libraries, museums and other cultural activities (market);Libraries, museums and other cultural activities (non-market);Gambling and betting activities;Sports activities (market);Sports activities (non-market);Amusement and recreation activities",one-to-many,high,"ISIC rev.3 92 -> NACE rev.2 59.1 motion picture, 60 broadcasting, 90 creative arts, 91 libraries and museums, 92 gambling and 93 sports and recreation, all listed in the developer table",16,0.192538;0.160170;0.181979;0.024240;0.137177;0.078308;0.085225;0.067251;0.073111,0.133891;0.344719;0.128823;0.000000;0.000000;0.370318;0.022170;0.000000;0.000078,NACE 18;58;59;60;90;91;92;93 (RECR),many-to-many
160,OSER,Other service activities (93),i93,93,93,93 96,96,960000,Other personal service activities,one-to-one,high,ISIC rev.3 93 -> NACE rev.2 96 other personal service activities,58,1.000000,1.000000,NACE 96 (OSER),one-to-one
161,PRHH,Private households with employed persons (95),i95,95,95,97 98,97,970000,Activities of households as employers of domestic personnel,one-to-one,high,"ISIC rev.3 95 -> NACE rev.2 97; NACE rev.2 98, undifferentiated household production, has no DST 117 industry",59,1.000000,1.000000,NACE 97 (PRHH),one-to-one
162,EXTO,Extra-territorial organizations and bodies,i99,99,93,99,,,,unmatched,high,NACE rev.2 99 extra-territorial organisations and bodies lies outside the Danish production boundary and has no DST 117 industry,-1,,,unmatched,unmatched
