producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
GBR,United Kingdom,Europe,Scope 3,land_use,km2,23.778332771949213,0.46651146420933237
TUR,Turkey,Middle East,Scope 3,land_use,km2,23.51984472984757,0.4614401399849656
ITA,Italy,Europe,Scope 3,land_use,km2,23.231971577225142,0.45579230389719444
SVK,Slovakia,Europe,Scope 3,land_use,km2,19.02189824129356,0.37319410430049876
ROU,Romania,Europe,Scope 3,land_use,km2,16.121146928795362,0.31628373320429404
HUN,Hungary,Europe,Scope 3,land_use,km2,15.608466621544755,0.3062253643901055
BGR,Bulgaria,Europe,Scope 3,land_use,km2,13.811695398407021,0.27097418079391994
CZE,Czech Republic,Europe,Scope 3,land_use,km2,13.021127666650354,0.25546388772015455
PRT,Portugal,Europe,Scope 3,land_use,km2,11.965403059123163,0.23475143335328097
NLD,Netherlands,Europe,Scope 3,land_use,km2,11.27611911855778,0.2212282455228679
AUT,Austria,Europe,Scope 3,land_use,km2,8.143819669742065,0.15977508914628152
CHE,Switzerland,Europe,Scope 3,land_use,km2,7.689422842899305,0.15086019460529165
HRV,Croatia,Europe,Scope 3,land_use,km2,6.304971150351678,0.1236983833710157
BEL,Belgium,Europe,Scope 3,land_use,km2,4.8804365562050185,0.09575017835152104
CYP,Cyprus,Middle East,Scope 3,land_use,km2,4.020229552199001,0.07887361964529539
TWN,Taiwan,Asia and Pacific,Scope 3,land_use,km2,3.786702808664857,0.0742920157076691
KOR,South Korea,Asia and Pacific,Scope 3,land_use,km2,3.7200652090911257,0.07298464044100576
JPN,Japan,Asia and Pacific,Scope 3,land_use,km2,3.3181670522873437,0.06509972691945129
SVN,Slovenia,Europe,Scope 3,land_use,km2,3.0175752607878983,0.05920236152690627
LUX,Luxembourg,Europe,Scope 3,land_use,km2,0.8643561507056909,0.01695796157499059
MLT,Malta,Europe,Scope 3,land_use,km2,0.048352832392744266,0.0009486430715957407
DNK,Denmark,Denmark,Outside protocol,material_extraction,kt,15.1869815083494,100.0
POL,Poland,Europe,Scope 2,material_extraction,kt,0.2041729265458965,73.6540337156267
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,material_extraction,kt,0.03450209805100668,12.44640382101521
