producing_country_iso3,producing_world_region,producing_sector_code,producing_sector_name,indicator,unit,value,rank,share_pct,mrio_coverage_pct
RoW Africa,Africa,HORE,Hotels and restaurants (55),waste_generation,kt,9.095389676333284,7,3.284281904310195,84.93962096388351
RoW Asia and Pacific,Asia and Pacific,HORE,Hotels and restaurants (55),waste_generation,kt,6.154316895628632,8,2.222280994325917,84.93962096388351
RoW Africa,Africa,TWAS,Sea and coastal water transport,waste_generation,kt,5.800430820136103,9,2.094495195664455,84.93962096388351
DNK,Denmark,HORE,Hotels and restaurants (55),waste_generation,kt,4.529629995037952,10,1.6356178630403853,84.93962096388351
CHN,Asia and Pacific,POWC,Production of electricity by coal,waste_generation,kt,4.494183705931325,11,1.6228184547653595,84.93962096388351
DNK,Denmark,INCO,Incineration of waste: Oil/Hazardous waste,waste_generation,kt,4.276038034155392,12,1.5440475710745227,84.93962096388351
CHN,Asia and Pacific,CHEM,Chemicals nec,waste_generation,kt,4.250206029256022,13,1.5347198139071951,84.93962096388351
GRC,Europe,TWAS,Sea and coastal water transport,waste_generation,kt,4.124995350072548,14,1.4895071091740808,84.93962096388351
IND,Asia and Pacific,RICE,Processed rice,waste_generation,kt,3.245488496885705,15,1.1719233062332879,84.93962096388351
SWE,Europe,PAPE,Paper,waste_generation,kt,3.23835216171648,16,1.169346425275635,84.93962096388351
RoW America,America,CHEM,Chemicals nec,waste_generation,kt,2.623348597626256,17,0.9472729189712762,84.93962096388351
RoW Middle East,Middle East,HORE,Hotels and restaurants (55),waste_generation,kt,2.573806315004481,18,0.9293835455520921,84.93962096388351
CZE,Europe,CHEM,Chemicals nec,waste_generation,kt,2.245538386054646,19,0.8108482812939077,84.93962096388351
USA,America,CHEM,Chemicals nec,waste_generation,kt,2.09666337633623,20,0.7570905515185177,84.93962096388351
OTH,Other,OTHER,All other pairs,waste_generation,kt,108.70471718230178,21,39.252516743067034,84.93962096388351
