time,c_dest,c_orig,nace_r2,na_item,unit,value
2021,DK,ES,C13-C15,TOTAL,THS_T,1.879
2021,DK,EU27_2020,C13-C15,TOTAL,THS_T,56.65
2021,DK,EXT_EU27_2020,C13-C15,TOTAL,THS_T,147.608
2021,DK,FI,C13-C15,TOTAL,THS_T,0.108
2021,DK,FR,C13-C15,TOTAL,THS_T,1.774
2021,DK,HR,C13-C15,TOTAL,THS_T,0.055
2021,DK,HU,C13-C15,TOTAL,THS_T,0.229
2021,DK,ID,C13-C15,TOTAL,THS_T,1.895
2021,DK,IE,C13-C15,TOTAL,THS_T,0.068
2021,DK,IN,C13-C15,TOTAL,THS_T,20.028
2021,DK,IT,C13-C15,TOTAL,THS_T,8.45
2021,DK,JP,C13-C15,TOTAL,THS_T,0.269
2021,DK,KR,C13-C15,TOTAL,THS_T,1.146
2021,DK,LT,C13-C15,TOTAL,THS_T,0.825
2021,DK,LU,C13-C15,TOTAL,THS_T,0.009
2021,DK,LV,C13-C15,TOTAL,THS_T,0.363
2021,DK,MT,C13-C15,TOTAL,THS_T,0.015
2021,DK,MX,C13-C15,TOTAL,THS_T,0.114
2021,DK,NL,C13-C15,TOTAL,THS_T,2.169
2021,DK,NO,C13-C15,TOTAL,THS_T,0.193
2021,DK,PL,C13-C15,TOTAL,THS_T,3.981
2021,DK,PT,C13-C15,TOTAL,THS_T,9.38
2021,DK,RO,C13-C15,TOTAL,THS_T,0.324
2021,DK,RU,C13-C15,TOTAL,THS_T,0.367
2021,DK,SA,C13-C15,TOTAL,THS_T,0.165
2021,DK,SE,C13-C15,TOTAL,THS_T,1.712
2021,DK,SI,C13-C15,TOTAL,THS_T,0.165
2021,DK,SK,C13-C15,TOTAL,THS_T,0.472
2021,DK,TR,C13-C15,TOTAL,THS_T,26.256
2021,DK,UK,C13-C15,TOTAL,THS_T,8.475
2021,DK,US,C13-C15,TOTAL,THS_T,1.344
2021,DK,WORLD,C13-C15,TOTAL,THS_T,204.258
2021,DK,WRL_REST,C13-C15,TOTAL,THS_T,17.916
2021,DK,ZA,C13-C15,TOTAL,THS_T,0.147
2021,DK,AR,C16,TOTAL,THS_T,0.035
2021,DK,AT,C16,TOTAL,THS_T,0.727
2021,DK,AU,C16,TOTAL,THS_T,0.076
2021,DK,BE,C16,TOTAL,THS_T,0.451
2021,DK,BG,C16,TOTAL,THS_T,0.355
2021,DK,BR,C16,TOTAL,THS_T,0.699
2021,DK,CA,C16,TOTAL,THS_T,0.509
2021,DK,CH,C16,TOTAL,THS_T,0.201
2021,DK,CN,C16,TOTAL,THS_T,8.39
2021,DK,CY,C16,TOTAL,THS_T,0.006
2021,DK,CZ,C16,TOTAL,THS_T,0.887
2021,DK,DE,C16,TOTAL,THS_T,4.925
2021,DK,DK,C16,TOTAL,THS_T,15.866
2021,DK,EE,C16,TOTAL,THS_T,2.215
2021,DK,EL,C16,TOTAL,THS_T,0.011
2021,DK,ES,C16,TOTAL,THS_T,1.979
2021,DK,EU27_2020,C16,TOTAL,THS_T,64.006
2021,DK,EXT_EU27_2020,C16,TOTAL,THS_T,36.792
2021,DK,FI,C16,TOTAL,THS_T,0.68
2021,DK,FR,C16,TOTAL,THS_T,1.154
2021,DK,HR,C16,TOTAL,THS_T,0.086
2021,DK,HU,C16,TOTAL,THS_T,0.427
2021,DK,ID,C16,TOTAL,THS_T,0.752
2021,DK,IE,C16,TOTAL,THS_T,0.104
2021,DK,IN,C16,TOTAL,THS_T,0.626
2021,DK,IT,C16,TOTAL,THS_T,1.153
2021,DK,JP,C16,TOTAL,THS_T,0.178
2021,DK,KR,C16,TOTAL,THS_T,0.093
2021,DK,LT,C16,TOTAL,THS_T,3.879
2021,DK,LU,C16,TOTAL,THS_T,0.033
2021,DK,LV,C16,TOTAL,THS_T,6.982
2021,DK,MT,C16,TOTAL,THS_T,0
2021,DK,MX,C16,TOTAL,THS_T,0.051
2021,DK,NL,C16,TOTAL,THS_T,0.6
2021,DK,NO,C16,TOTAL,THS_T,2.135
2021,DK,PL,C16,TOTAL,THS_T,8.381
2021,DK,PT,C16,TOTAL,THS_T,1.237
2021,DK,RO,C16,TOTAL,THS_T,0.427
2021,DK,RU,C16,TOTAL,THS_T,3.262
2021,DK,SA,C16,TOTAL,THS_T,0.044
2021,DK,SE,C16,TOTAL,THS_T,10.417
2021,DK,SI,C16,TOTAL,THS_T,0.182
2021,DK,SK,C16,TOTAL,THS_T,0.842
2021,DK,TR,C16,TOTAL,THS_T,1.056
2021,DK,UK,C16,TOTAL,THS_T,4.026
2021,DK,US,C16,TOTAL,THS_T,2.532
2021,DK,WORLD,C16,TOTAL,THS_T,100.798
2021,DK,WRL_REST,C16,TOTAL,THS_T,11.984
2021,DK,ZA,C16,TOTAL,THS_T,0.143
2021,DK,AR,C17,TOTAL,THS_T,0.184
2021,DK,AT,C17,TOTAL,THS_T,7.28
2021,DK,AU,C17,TOTAL,THS_T,0.22
2021,DK,BE,C17,TOTAL,THS_T,1.694
2021,DK,BG,C17,TOTAL,THS_T,0.613
2021,DK,BR,C17,TOTAL,THS_T,1.845
2021,DK,CA,C17,TOTAL,THS_T,1.39
2021,DK,CH,C17,TOTAL,THS_T,0.505
2021,DK,CN,C17,TOTAL,THS_T,30.646
2021,DK,CY,C17,TOTAL,THS_T,-0.008
2021,DK,CZ,C17,TOTAL,THS_T,2.929
2021,DK,DE,C17,TOTAL,THS_T,56.802
2021,DK,DK,C17,TOTAL,THS_T,15.095
2021,DK,EE,C17,TOTAL,THS_T,0.507
2021,DK,EL,C17,TOTAL,THS_T,0.121
2021,DK,ES,C17,TOTAL,THS_T,7.655
2021,DK,EU27_2020,C17,TOTAL,THS_T,173.717
2021,DK,EXT_EU27_2020,C17,TOTAL,THS_T,101.352
2021,DK,FI,C17,TOTAL,THS_T,15.145
2021,DK,FR,C17,TOTAL,THS_T,6.714
2021,DK,HR,C17,TOTAL,THS_T,0.079
