time,geo,nace_r2,cpa2_1,unit,value
2022,DK,C13-C15,CPA_C18,MIO_EUR,0
2022,DK,C13-C15,CPA_C19,MIO_EUR,0
2022,DK,C13-C15,CPA_C20,MIO_EUR,8.215
2022,DK,C13-C15,CPA_C21,MIO_EUR,0
2022,DK,C13-C15,CPA_C22,MIO_EUR,4.014
2022,DK,C13-C15,CPA_C23,MIO_EUR,5.796
2022,DK,C13-C15,CPA_C24,MIO_EUR,0.102
2022,DK,C13-C15,CPA_C25,MIO_EUR,2.225
2022,DK,C13-C15,CPA_C26,MIO_EUR,0.761
2022,DK,C13-C15,CPA_C27,MIO_EUR,0.11
2022,DK,C13-C15,CPA_C28,MIO_EUR,11.767
2022,DK,C13-C15,CPA_C29,MIO_EUR,0
2022,DK,C13-C15,CPA_C30,MIO_EUR,0
2022,DK,C13-C15,CPA_C31_32,MIO_EUR,12.268
2022,DK,C13-C15,CPA_C33,MIO_EUR,1.996
2022,DK,C13-C15,CPA_D35,MIO_EUR,0
2022,DK,C13-C15,CPA_E36,MIO_EUR,0
2022,DK,C13-C15,CPA_E37-39,MIO_EUR,0
2022,DK,C13-C15,CPA_F,MIO_EUR,0
2022,DK,C13-C15,CPA_G45,MIO_EUR,0
2022,DK,C13-C15,CPA_G46,MIO_EUR,0
2022,DK,C13-C15,CPA_G47,MIO_EUR,0
2022,DK,C13-C15,CPA_H49,MIO_EUR,0
2022,DK,C13-C15,CPA_H50,MIO_EUR,0
2022,DK,C13-C15,CPA_H51,MIO_EUR,0
2022,DK,C13-C15,CPA_H52,MIO_EUR,0
2022,DK,C13-C15,CPA_H53,MIO_EUR,0
2022,DK,C13-C15,CPA_I,MIO_EUR,0
2022,DK,C13-C15,CPA_J58,MIO_EUR,0
2022,DK,C13-C15,CPA_J59_60,MIO_EUR,0
2022,DK,C13-C15,CPA_J61,MIO_EUR,0
2022,DK,C13-C15,CPA_J62_63,MIO_EUR,2.995
2022,DK,C13-C15,CPA_K64,MIO_EUR,0
2022,DK,C13-C15,CPA_K65,MIO_EUR,0
2022,DK,C13-C15,CPA_K66,MIO_EUR,0
2022,DK,C13-C15,CPA_L,MIO_EUR,0
2022,DK,C13-C15,CPA_M69_70,MIO_EUR,0
2022,DK,C13-C15,CPA_M71,MIO_EUR,0
2022,DK,C13-C15,CPA_M72,MIO_EUR,8.56
2022,DK,C13-C15,CPA_M73,MIO_EUR,0
2022,DK,C13-C15,CPA_M74_75,MIO_EUR,0
2022,DK,C13-C15,CPA_N77,MIO_EUR,4.515
2022,DK,C13-C15,CPA_N78,MIO_EUR,0
2022,DK,C13-C15,CPA_N79,MIO_EUR,0
2022,DK,C13-C15,CPA_N80-82,MIO_EUR,0.501
2022,DK,C13-C15,CPA_O84,MIO_EUR,0
2022,DK,C13-C15,CPA_P85,MIO_EUR,0
2022,DK,C13-C15,CPA_Q86,MIO_EUR,0
2022,DK,C13-C15,CPA_Q87_88,MIO_EUR,0
2022,DK,C13-C15,CPA_R90-92,MIO_EUR,0
2022,DK,C13-C15,CPA_R93,MIO_EUR,0
2022,DK,C13-C15,CPA_S94,MIO_EUR,0
2022,DK,C13-C15,CPA_S95,MIO_EUR,0
2022,DK,C13-C15,CPA_S96,MIO_EUR,0
2022,DK,C13-C15,CPA_T,MIO_EUR,0
2022,DK,C13-C15,CPA_U,MIO_EUR,0
2022,DK,C16,CPA_A01,MIO_EUR,0
2022,DK,C16,CPA_A02,MIO_EUR,16.947
2022,DK,C16,CPA_A03,MIO_EUR,0
2022,DK,C16,CPA_B,MIO_EUR,0
2022,DK,C16,CPA_C10-12,MIO_EUR,10.795
2022,DK,C16,CPA_C13-15,MIO_EUR,0.828
2022,DK,C16,CPA_C16,MIO_EUR,2000.492
2022,DK,C16,CPA_C17,MIO_EUR,0.001
2022,DK,C16,CPA_C18,MIO_EUR,0
2022,DK,C16,CPA_C19,MIO_EUR,0
2022,DK,C16,CPA_C20,MIO_EUR,5.274
2022,DK,C16,CPA_C21,MIO_EUR,0
2022,DK,C16,CPA_C22,MIO_EUR,11.22
2022,DK,C16,CPA_C23,MIO_EUR,0.926
2022,DK,C16,CPA_C24,MIO_EUR,2.12
2022,DK,C16,CPA_C25,MIO_EUR,62.466
2022,DK,C16,CPA_C26,MIO_EUR,0
2022,DK,C16,CPA_C27,MIO_EUR,0.011
2022,DK,C16,CPA_C28,MIO_EUR,1.294
2022,DK,C16,CPA_C29,MIO_EUR,0
2022,DK,C16,CPA_C30,MIO_EUR,0
2022,DK,C16,CPA_C31_32,MIO_EUR,56.571
2022,DK,C16,CPA_C33,MIO_EUR,2.625
2022,DK,C16,CPA_D35,MIO_EUR,0
2022,DK,C16,CPA_E36,MIO_EUR,0
2022,DK,C16,CPA_E37-39,MIO_EUR,31.927
2022,DK,C16,CPA_F,MIO_EUR,0
2022,DK,C16,CPA_G45,MIO_EUR,0
2022,DK,C16,CPA_G46,MIO_EUR,0
2022,DK,C16,CPA_G47,MIO_EUR,0
2022,DK,C16,CPA_H49,MIO_EUR,0
2022,DK,C16,CPA_H50,MIO_EUR,0
2022,DK,C16,CPA_H51,MIO_EUR,0
2022,DK,C16,CPA_H52,MIO_EUR,0
2022,DK,C16,CPA_H53,MIO_EUR,0
2022,DK,C16,CPA_I,MIO_EUR,0
2022,DK,C16,CPA_J58,MIO_EUR,1.047
2022,DK,C16,CPA_J59_60,MIO_EUR,0
2022,DK,C16,CPA_J61,MIO_EUR,0
2022,DK,C16,CPA_J62_63,MIO_EUR,3.664
2022,DK,C16,CPA_K64,MIO_EUR,0
2022,DK,C16,CPA_K65,MIO_EUR,0
2022,DK,C16,CPA_K66,MIO_EUR,0
2022,DK,C16,CPA_L,MIO_EUR,0
2022,DK,C16,CPA_M69_70,MIO_EUR,0
2022,DK,C16,CPA_M71,MIO_EUR,0
2022,DK,C16,CPA_M72,MIO_EUR,4.954
2022,DK,C16,CPA_M73,MIO_EUR,0
2022,DK,C16,CPA_M74_75,MIO_EUR,0
2022,DK,C16,CPA_N77,MIO_EUR,4.333
2022,DK,C16,CPA_N78,MIO_EUR,0
2022,DK,C16,CPA_N79,MIO_EUR,0
2022,DK,C16,CPA_N80-82,MIO_EUR,0
2022,DK,C16,CPA_O84,MIO_EUR,0
2022,DK,C16,CPA_P85,MIO_EUR,0
2022,DK,C16,CPA_Q86,MIO_EUR,0
2022,DK,C16,CPA_Q87_88,MIO_EUR,0
2022,DK,C16,CPA_R90-92,MIO_EUR,0
2022,DK,C16,CPA_R93,MIO_EUR,0
2022,DK,C16,CPA_S94,MIO_EUR,0
2022,DK,C16,CPA_S95,MIO_EUR,0
2022,DK,C16,CPA_S96,MIO_EUR,0
2022,DK,C16,CPA_T,MIO_EUR,0
2022,DK,C16,CPA_U,MIO_EUR,0
2022,DK,C17,CPA_A01,MIO_EUR,0
2022,DK,C17,CPA_A02,MIO_EUR,0
2022,DK,C17,CPA_A03,MIO_EUR,0
2022,DK,C17,CPA_B,MIO_EUR,0
2022,DK,C17,CPA_C10-12,MIO_EUR,1.531
2022,DK,C17,CPA_C13-15,MIO_EUR,0
2022,DK,C17,CPA_C16,MIO_EUR,0
2022,DK,C17,CPA_C17,MIO_EUR,1271.252
2022,DK,C17,CPA_C18,MIO_EUR,0.167
2022,DK,C17,CPA_C19,MIO_EUR,0
2022,DK,C17,CPA_C20,MIO_EUR,0
2022,DK,C17,CPA_C21,MIO_EUR,0
2022,DK,C17,CPA_C22,MIO_EUR,2.574
2022,DK,C17,CPA_C23,MIO_EUR,0
2022,DK,C17,CPA_C24,MIO_EUR,6.89
2022,DK,C17,CPA_C25,MIO_EUR,0
2022,DK,C17,CPA_C26,MIO_EUR,0
2022,DK,C17,CPA_C27,MIO_EUR,0
2022,DK,C17,CPA_C28,MIO_EUR,28.465
2022,DK,C17,CPA_C29,MIO_EUR,0
2022,DK,C17,CPA_C30,MIO_EUR,0
2022,DK,C17,CPA_C31_32,MIO_EUR,2.332
2022,DK,C17,CPA_C33,MIO_EUR,0
2022,DK,C17,CPA_D35,MIO_EUR,0
2022,DK,C17,CPA_E36,MIO_EUR,0
2022,DK,C17,CPA_E37-39,MIO_EUR,8.336
2022,DK,C17,CPA_F,MIO_EUR,0
2022,DK,C17,CPA_G45,MIO_EUR,0
2022,DK,C17,CPA_G46,MIO_EUR,0
2022,DK,C17,CPA_G47,MIO_EUR,0
2022,DK,C17,CPA_H49,MIO_EUR,0
2022,DK,C17,CPA_H50,MIO_EUR,0
2022,DK,C17,CPA_H51,MIO_EUR,0
2022,DK,C17,CPA_H52,MIO_EUR,0
2022,DK,C17,CPA_H53,MIO_EUR,0
2022,DK,C17,CPA_I,MIO_EUR,0
2022,DK,C17,CPA_J58,MIO_EUR,13.145
2022,DK,C17,CPA_J59_60,MIO_EUR,0
2022,DK,C17,CPA_J61,MIO_EUR,0
2022,DK,C17,CPA_J62_63,MIO_EUR,3.381
2022,DK,C17,CPA_K64,MIO_EUR,0
2022,DK,C17,CPA_K65,MIO_EUR,0
2022,DK,C17,CPA_K66,MIO_EUR,0
2022,DK,C17,CPA_L,MIO_EUR,0
2022,DK,C17,CPA_M69_70,MIO_EUR,0
2022,DK,C17,CPA_M71,MIO_EUR,0.194
2022,DK,C17,CPA_M72,MIO_EUR,1.54
2022,DK,C17,CPA_M73,MIO_EUR,0
2022,DK,C17,CPA_M74_75,MIO_EUR,0.832
2022,DK,C17,CPA_N77,MIO_EUR,3.359
2022,DK,C17,CPA_N78,MIO_EUR,0
2022,DK,C17,CPA_N79,MIO_EUR,0
2022,DK,C17,CPA_N80-82,MIO_EUR,0
2022,DK,C17,CPA_O84,MIO_EUR,0
2022,DK,C17,CPA_P85,MIO_EUR,0
2022,DK,C17,CPA_Q86,MIO_EUR,0
2022,DK,C17,CPA_Q87_88,MIO_EUR,0
2022,DK,C17,CPA_R90-92,MIO_EUR,0
2022,DK,C17,CPA_R93,MIO_EUR,0
2022,DK,C17,CPA_S94,MIO_EUR,0
