mrio_vintage,mrio_year,country_producing,sector_producing,exiobase_industry_index,value,unit,variable
v3.10.2,2019,PRT,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2019,ROU,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2019,SWE,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2019,SVN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2019,SVK,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2019,GBR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2019,USA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,7569.45930322,M.EUR,total_industry_output
v3.10.2,2019,JPN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,26488.5636099,M.EUR,total_industry_output
v3.10.2,2019,CHN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,61979.1703294,M.EUR,total_industry_output
v3.10.2,2019,CAN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,4309.27402803,M.EUR,total_industry_output
v3.10.2,2019,KOR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,6584.40554028,M.EUR,total_industry_output
v3.10.2,2019,BRA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,6935.6490223,M.EUR,total_industry_output
v3.10.2,2019,IND,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,1991.23837752,M.EUR,total_industry_output
v3.10.2,2019,MEX,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,4317.05267199,M.EUR,total_industry_output
v3.10.2,2019,RUS,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,8299.95486602,M.EUR,total_industry_output
v3.10.2,2019,AUS,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,2288.96796514,M.EUR,total_industry_output
v3.10.2,2019,CHE,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2019,TUR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,1245.61182802,M.EUR,total_industry_output
v3.10.2,2019,TWN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,6191.59334078,M.EUR,total_industry_output
v3.10.2,2019,NOR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,0.0,M.EUR,total_industry_output
v3.10.2,2019,IDN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,2314.98233647,M.EUR,total_industry_output
v3.10.2,2019,ZAF,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,337.511589642,M.EUR,total_industry_output
v3.10.2,2019,RoW Asia and Pacific,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,15698.9938868,M.EUR,total_industry_output
v3.10.2,2019,RoW America,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,13735.5313169,M.EUR,total_industry_output
v3.10.2,2019,RoW Europe,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,2549.30952284,M.EUR,total_industry_output
v3.10.2,2019,RoW Africa,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,5295.06724222,M.EUR,total_industry_output
v3.10.2,2019,RoW Middle East,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,10354.5824859,M.EUR,total_industry_output
v3.8.2,2016,AUT,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,4709.59084358,M.EUR,total_industry_output
v3.8.2,2016,BEL,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,2420.95498292,M.EUR,total_industry_output
v3.8.2,2016,BGR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,330.580883486,M.EUR,total_industry_output
v3.8.2,2016,CYP,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,8.18427148303,M.EUR,total_industry_output
v3.8.2,2016,CZE,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,3175.79553438,M.EUR,total_industry_output
v3.8.2,2016,DEU,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,68118.1528881,M.EUR,total_industry_output
v3.8.2,2016,DNK,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,4918.96974143,M.EUR,total_industry_output
v3.8.2,2016,EST,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,209.822221834,M.EUR,total_industry_output
v3.8.2,2016,ESP,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,4055.8381761,M.EUR,total_industry_output
v3.8.2,2016,FIN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,3141.21119945,M.EUR,total_industry_output
v3.8.2,2016,FRA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,30719.762329,M.EUR,total_industry_output
v3.8.2,2016,GRC,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,338.530680453,M.EUR,total_industry_output
v3.8.2,2016,HRV,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,142.057908214,M.EUR,total_industry_output
v3.8.2,2016,HUN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,2540.66754099,M.EUR,total_industry_output
v3.8.2,2016,IRL,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,10952.1681976,M.EUR,total_industry_output
v3.8.2,2016,ITA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,21878.7343134,M.EUR,total_industry_output
v3.8.2,2016,LTU,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,203.884405322,M.EUR,total_industry_output
v3.8.2,2016,LUX,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,868.935796566,M.EUR,total_industry_output
v3.8.2,2016,LVA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,38.9749886273,M.EUR,total_industry_output
v3.8.2,2016,MLT,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,42.6967113555,M.EUR,total_industry_output
v3.8.2,2016,NLD,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,12454.858775,M.EUR,total_industry_output
v3.8.2,2016,POL,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,4164.84109863,M.EUR,total_industry_output
v3.8.2,2016,PRT,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,946.812932216,M.EUR,total_industry_output
v3.8.2,2016,ROU,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,672.544319628,M.EUR,total_industry_output
v3.8.2,2016,SWE,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,6342.90850788,M.EUR,total_industry_output
v3.8.2,2016,SVN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,468.892689155,M.EUR,total_industry_output
v3.8.2,2016,SVK,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,750.736555042,M.EUR,total_industry_output
v3.8.2,2016,GBR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,20851.6009914,M.EUR,total_industry_output
v3.8.2,2016,USA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,239044.841763,M.EUR,total_industry_output
v3.8.2,2016,JPN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,67838.0885074,M.EUR,total_industry_output
v3.8.2,2016,CHN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,139294.502601,M.EUR,total_industry_output
v3.8.2,2016,CAN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,6882.83338177,M.EUR,total_industry_output
v3.8.2,2016,KOR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,20681.1469419,M.EUR,total_industry_output
v3.8.2,2016,BRA,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,15243.1202773,M.EUR,total_industry_output
v3.8.2,2016,IND,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,8410.34301498,M.EUR,total_industry_output
v3.8.2,2016,MEX,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,13568.2952378,M.EUR,total_industry_output
v3.8.2,2016,RUS,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,2176.85023044,M.EUR,total_industry_output
v3.8.2,2016,AUS,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,4069.38129204,M.EUR,total_industry_output
v3.8.2,2016,CHE,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,58109.0131031,M.EUR,total_industry_output
v3.8.2,2016,TUR,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,1447.82611225,M.EUR,total_industry_output
v3.8.2,2016,TWN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",89,42978.537599,M.EUR,total_industry_output
