producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
RoW Middle East,RoW Middle East,Middle East,Scope 2,land_use,km2,4.605382568823541e-05,0.06808230144548201
CZE,Czech Republic,Europe,Scope 2,land_use,km2,3.529140151483479e-05,0.052171992238644896
BGR,Bulgaria,Europe,Scope 2,land_use,km2,1.6817613122594526e-05,0.02486181742982676
LUX,Luxembourg,Europe,Scope 2,land_use,km2,7.042884708069579e-06,0.010411638828586117
SVK,Slovakia,Europe,Scope 2,land_use,km2,5.669586218903857e-06,0.008381463912240572
POL,Poland,Europe,Scope 2,land_use,km2,1.3929612057747694e-06,0.0020592427077702276
HUN,Hungary,Europe,Scope 2,land_use,km2,6.27989706834902e-07,0.0009283698777779402
RoW Africa,RoW Africa,Africa,Scope 3,land_use,km2,926.318393537842,19.095401647890558
RoW Europe,RoW Europe,Europe,Scope 3,land_use,km2,607.4375932293317,12.52189840951075
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 3,land_use,km2,558.0831758214728,11.504491835188842
DNK,Denmark,Denmark,Scope 3,land_use,km2,376.90169989101594,7.769563242401107
RUS,Russia,Europe,Scope 3,land_use,km2,322.30011332460236,6.643989969354425
RoW Middle East,RoW Middle East,Middle East,Scope 3,land_use,km2,255.84281230821918,5.274019488151019
RoW America,RoW America,America,Scope 3,land_use,km2,207.528434561304,4.278052599356253
AUS,Australia,Asia and Pacific,Scope 3,land_use,km2,203.73901468865162,4.199936376051615
CHN,China,Asia and Pacific,Scope 3,land_use,km2,168.40796217899498,3.47161159806906
USA,United States,America,Scope 3,land_use,km2,153.07273155663427,3.155486613247579
IND,India,Asia and Pacific,Scope 3,land_use,km2,122.21902134872225,2.519459095217266
SWE,Sweden,Europe,Scope 3,land_use,km2,119.79782114002882,2.4695477571962434
NOR,Norway,Europe,Scope 3,land_use,km2,116.80895090152536,2.407934301093239
BRA,Brazil,America,Scope 3,land_use,km2,113.75543252658854,2.344988169163439
POL,Poland,Europe,Scope 3,land_use,km2,69.08474911477046,1.4241334742927154
CAN,Canada,America,Scope 3,land_use,km2,52.989470127709396,1.0923406274304681
LVA,Latvia,Europe,Scope 3,land_use,km2,41.98916028421618,0.8655769831175305
ESP,Spain,Europe,Scope 3,land_use,km2,36.06914588672503,0.7435400534073895
DEU,Germany,Europe,Scope 3,land_use,km2,35.74359487156312,0.7368290483849664
FRA,France,Europe,Scope 3,land_use,km2,30.881811657557407,0.6366068096341618
FIN,Finland,Europe,Scope 3,land_use,km2,28.629966855122436,0.5901866141040017
ROU,Romania,Europe,Scope 3,land_use,km2,28.09218844076186,0.5791006906338213
IDN,Indonesia,Asia and Pacific,Scope 3,land_use,km2,27.455757487851095,0.5659811145228841
