producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
SWE,Sweden,Europe,Scope 3,climate_change,kt CO2eq,26.59111381291833,0.40741574729605873
ESP,Spain,Europe,Scope 3,climate_change,kt CO2eq,26.421535589835145,0.40481755457014856
CHE,Switzerland,Europe,Scope 3,climate_change,kt CO2eq,17.286270956296725,0.26485159851410006
TUR,Turkey,Middle East,Scope 3,climate_change,kt CO2eq,14.460109092572608,0.22155055983668273
MEX,Mexico,America,Scope 3,climate_change,kt CO2eq,14.218587424828824,0.21785008563149091
HUN,Hungary,Europe,Scope 3,climate_change,kt CO2eq,9.836055249332803,0.15070311939718045
ROU,Romania,Europe,Scope 3,climate_change,kt CO2eq,9.659610630072011,0.1479997231830068
HRV,Croatia,Europe,Scope 3,climate_change,kt CO2eq,9.23678606719156,0.14152141669035512
CYP,Cyprus,Middle East,Scope 3,climate_change,kt CO2eq,9.199504160449113,0.14095020196039085
PRT,Portugal,Europe,Scope 3,climate_change,kt CO2eq,8.76368667553569,0.13427282441427124
FIN,Finland,Europe,Scope 3,climate_change,kt CO2eq,8.139006957781348,0.12470179418890573
LUX,Luxembourg,Europe,Scope 3,climate_change,kt CO2eq,8.097426146396769,0.12406471379195014
AUT,Austria,Europe,Scope 3,climate_change,kt CO2eq,7.12068724541277,0.10909960883029927
EST,Estonia,Europe,Scope 3,climate_change,kt CO2eq,6.6757594439668315,0.10228264757045066
LVA,Latvia,Europe,Scope 3,climate_change,kt CO2eq,6.318826559663983,0.09681390042372019
SVN,Slovenia,Europe,Scope 3,climate_change,kt CO2eq,6.11954853160958,0.09376066213928147
SVK,Slovakia,Europe,Scope 3,climate_change,kt CO2eq,5.553413325982131,0.08508662164988831
BGR,Bulgaria,Europe,Scope 3,climate_change,kt CO2eq,5.445037786949871,0.08342614584078585
LTU,Lithuania,Europe,Scope 3,climate_change,kt CO2eq,3.987994035168918,0.061102050161630804
MLT,Malta,Europe,Scope 3,climate_change,kt CO2eq,1.3264215135966435,0.02032276707149475
DNK,Denmark,Denmark,Outside protocol,land_use,km2,0.9870380080591756,100.0
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,land_use,km2,0.12620722463503578,74.14887779316302
RoW Europe,RoW Europe,Europe,Scope 2,land_use,km2,0.022629755399426764,13.295363814976508
RoW Africa,RoW Africa,Africa,Scope 2,land_use,km2,0.009259240531056152,5.439960323825957
RoW Middle East,RoW Middle East,Middle East,Scope 2,land_use,km2,0.0046723880858999,2.7451069792992313
CAN,Canada,America,Scope 2,land_use,km2,0.004208786034534778,2.4727329377121596
RoW America,RoW America,America,Scope 2,land_use,km2,0.002699883620659686,1.586227264112445
LUX,Luxembourg,Europe,Scope 2,land_use,km2,0.0002716522373638262,0.15960028127373893
RUS,Russia,Europe,Scope 2,land_use,km2,0.00017095144265390512,0.10043686220472077
CZE,Czech Republic,Europe,Scope 2,land_use,km2,7.76488763784077e-05,0.04562002739548907
HUN,Hungary,Europe,Scope 2,land_use,km2,1.0006531743014226e-05,0.005879006542547747
SVK,Slovakia,Europe,Scope 2,land_use,km2,1.8401114040208895e-07,0.00010810965538392286
POL,Poland,Europe,Scope 2,land_use,km2,8.631274283780102e-08,5.07101953884195e-05
BGR,Bulgaria,Europe,Scope 2,land_use,km2,6.108699713168645e-08,3.588964338743012e-05
RoW Africa,RoW Africa,Africa,Scope 3,land_use,km2,741.0136709269477,16.31107387986154
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 3,land_use,km2,719.5645722595708,15.838939765814251
BRA,Brazil,America,Scope 3,land_use,km2,530.5928852615662,11.679325350103431
DNK,Denmark,Denmark,Scope 3,land_use,km2,396.38367736223006,8.725133826665832
RUS,Russia,Europe,Scope 3,land_use,km2,350.70071510623757,7.719567800500197
AUS,Australia,Asia and Pacific,Scope 3,land_use,km2,283.5907787701473,6.2423546631481255
RoW America,RoW America,America,Scope 3,land_use,km2,214.83800669206357,4.728979689366486
CHN,China,Asia and Pacific,Scope 3,land_use,km2,213.1028992499912,4.690786783098323
USA,United States,America,Scope 3,land_use,km2,154.64706541392846,3.4040663596866922
SWE,Sweden,Europe,Scope 3,land_use,km2,118.49802068577375,2.608359394510501
RoW Europe,RoW Europe,Europe,Scope 3,land_use,km2,93.33892254122708,2.0545613679868517
CAN,Canada,America,Scope 3,land_use,km2,84.5643807732965,1.8614175642300166
