producing_country_iso3,producing_country_name,producing_world_region,producing_sector_group,indicator,unit,value,analysis_year,model
FIN,Finland,Europe,Minerals and Metals,material_extraction,kt,16.36650649914056,2019,EXIOBASE v3.7 IOT_2016_ixi
EST,Estonia,Europe,Food and catering,land_use,km2,16.029830362736035,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Food and catering,blue_water_consumption,Mm3,15.654026252739461,2019,EXIOBASE v3.7 IOT_2016_ixi
MEX,Mexico,America,Minerals and Metals,material_extraction,kt,15.650123916194346,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW America,RoW America,America,Food and catering,climate_change,kt CO2eq,15.352627757544507,2019,EXIOBASE v3.7 IOT_2016_ixi
AUS,Australia,Asia and Pacific,Food and catering,climate_change,kt CO2eq,15.343827722154636,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW America,RoW America,America,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,15.25614322231506,2019,EXIOBASE v3.7 IOT_2016_ixi
BEL,Belgium,Europe,Minerals and Metals,material_extraction,kt,15.185412827328552,2019,EXIOBASE v3.7 IOT_2016_ixi
ITA,Italy,Europe,Food and catering,land_use,km2,15.077247450134188,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Chemical,climate_change,kt CO2eq,15.000554901709302,2019,EXIOBASE v3.7 IOT_2016_ixi
BGR,Bulgaria,Europe,Minerals and Metals,material_extraction,kt,14.955566659239533,2019,EXIOBASE v3.7 IOT_2016_ixi
BRA,Brazil,America,Chemical,climate_change,kt CO2eq,14.89372798901966,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Transport,climate_change,kt CO2eq,14.881994424533733,2019,EXIOBASE v3.7 IOT_2016_ixi
GRC,Greece,Europe,Minerals and Metals,material_extraction,kt,14.738121138305575,2019,EXIOBASE v3.7 IOT_2016_ixi
IRL,Ireland,Europe,Transport,climate_change,kt CO2eq,14.079849705829206,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Food and catering,climate_change,kt CO2eq,13.851028937925397,2019,EXIOBASE v3.7 IOT_2016_ixi
ESP,Spain,Europe,Transport,climate_change,kt CO2eq,13.66228979319351,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Non-metallic mineral products,climate_change,kt CO2eq,13.331767670722133,2019,EXIOBASE v3.7 IOT_2016_ixi
IND,India,Asia and Pacific,Coal and Petroleum,climate_change,kt CO2eq,13.318722774066162,2019,EXIOBASE v3.7 IOT_2016_ixi
MEX,Mexico,America,Food and catering,land_use,km2,13.286689962687175,2019,EXIOBASE v3.7 IOT_2016_ixi
TWN,Taiwan,Asia and Pacific,Transport,climate_change,kt CO2eq,13.20269622378728,2019,EXIOBASE v3.7 IOT_2016_ixi
TUR,Turkey,Middle East,Food and catering,land_use,km2,13.147478599596202,2019,EXIOBASE v3.7 IOT_2016_ixi
SWE,Sweden,Europe,Chemical,material_extraction,kt,12.895151147953047,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW America,RoW America,America,Natural gas and gaseous fuels,climate_change,kt CO2eq,12.854640653225346,2019,EXIOBASE v3.7 IOT_2016_ixi
CZE,Czech Republic,Europe,Transport,climate_change,kt CO2eq,12.805913622696059,2019,EXIOBASE v3.7 IOT_2016_ixi
USA,United States,America,Food and catering,climate_change,kt CO2eq,12.599027782625008,2019,EXIOBASE v3.7 IOT_2016_ixi
GRC,Greece,Europe,Food and catering,land_use,km2,12.44827857655251,2019,EXIOBASE v3.7 IOT_2016_ixi
DEU,Germany,Europe,Food and catering,climate_change,kt CO2eq,12.380816950621181,2019,EXIOBASE v3.7 IOT_2016_ixi
CZE,Czech Republic,Europe,Electricity,climate_change,kt CO2eq,12.28502417839318,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Chemical,waste_generation,kt,12.04655393634764,2019,EXIOBASE v3.7 IOT_2016_ixi
CZE,Czech Republic,Europe,Coal and Petroleum,climate_change,kt CO2eq,11.961037927219573,2019,EXIOBASE v3.7 IOT_2016_ixi
HUN,Hungary,Europe,Food and catering,land_use,km2,11.568903435040138,2019,EXIOBASE v3.7 IOT_2016_ixi
LTU,Lithuania,Europe,Food and catering,land_use,km2,11.30906888573954,2019,EXIOBASE v3.7 IOT_2016_ixi
ROU,Romania,Europe,Food and catering,land_use,km2,11.308724180859425,2019,EXIOBASE v3.7 IOT_2016_ixi
RUS,Russia,Europe,Services,climate_change,kt CO2eq,11.111747377844717,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,11.104999220482494,2019,EXIOBASE v3.7 IOT_2016_ixi
CHN,China,Asia and Pacific,Non-metallic mineral products,climate_change,kt CO2eq,10.956303128914838,2019,EXIOBASE v3.7 IOT_2016_ixi
RUS,Russia,Europe,Metal Products,climate_change,kt CO2eq,10.90946381719705,2019,EXIOBASE v3.7 IOT_2016_ixi
SWE,Sweden,Europe,Transport,climate_change,kt CO2eq,10.881361206266533,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,10.51588941364797,2019,EXIOBASE v3.7 IOT_2016_ixi
