producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Waste management and disposal,Scope 3,climate_change,kt CO2eq,85.10168312452441,1.521013712454913
Denmark,Services,Scope 3,climate_change,kt CO2eq,79.26549257548663,1.416704073354155
Africa,Food and catering,Scope 3,climate_change,kt CO2eq,78.75356278158822,1.4075544043024353
Europe,Waste management and disposal,Scope 3,climate_change,kt CO2eq,70.88564382252702,1.266931890318721
Europe,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,67.61754935847388,1.2085215709111798
Denmark,Chemical,Scope 3,climate_change,kt CO2eq,64.8528761655301,1.159108848594385
Europe,Minerals and Metals,Scope 3,climate_change,kt CO2eq,62.33971246568762,1.114191329824386
America,Transport,Scope 3,climate_change,kt CO2eq,60.117995717013905,1.074482812720455
Middle East,Services,Scope 3,climate_change,kt CO2eq,59.37973062467929,1.0612878759384805
Middle East,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,50.326368219530195,0.8994780520140079
Africa,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,47.855871920855826,0.8553231233581967
America,Food and catering,Scope 3,climate_change,kt CO2eq,44.29166786210829,0.7916204673318766
Middle East,Chemical,Scope 3,climate_change,kt CO2eq,44.194180367396505,0.7898780832707702
Middle East,Electricity,Scope 3,climate_change,kt CO2eq,43.8354988344135,0.7834674047736927
Africa,Electricity,Scope 3,climate_change,kt CO2eq,42.92949829623882,0.7672745494568499
Asia and Pacific,Waste management and disposal,Scope 3,climate_change,kt CO2eq,36.89903310721963,0.659492659508108
Middle East,Food and catering,Scope 3,climate_change,kt CO2eq,36.77032532643244,0.657192278454651
America,Electricity,Scope 3,climate_change,kt CO2eq,36.53099497703177,0.652914751502424
Asia and Pacific,Metal Products,Scope 3,climate_change,kt CO2eq,35.95731702451181,0.6426614639024697
Europe,Services,Scope 3,climate_change,kt CO2eq,33.010412345781546,0.5899917368056788
America,Chemical,Scope 3,climate_change,kt CO2eq,30.928546657547614,0.5527827634571756
Europe,Metal Products,Scope 3,climate_change,kt CO2eq,30.21306157449626,0.539994971460328
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,29.7074256440309,0.5309577919885383
Denmark,Minerals and Metals,Scope 3,climate_change,kt CO2eq,26.069372493312425,0.4659352386650546
Europe,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,23.171571064307553,0.41414312894804145
Asia and Pacific,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,21.03342992251685,0.3759283501513754
Asia and Pacific,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,20.78019943907689,0.3714023875195885
Middle East,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,19.84957575054044,0.35476944514489894
Denmark,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,19.69693772630406,0.3520413612882513
America,Waste management and disposal,Scope 3,climate_change,kt CO2eq,17.05459578815629,0.30481505302550377
Asia and Pacific,Services,Scope 3,climate_change,kt CO2eq,15.817866745422563,0.2827111208407929
Denmark,Electricity,Scope 3,climate_change,kt CO2eq,15.413023707901544,0.2754754024759711
Denmark,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,15.218830911477596,0.27200461440955187
Europe,Paper Products,Scope 3,climate_change,kt CO2eq,13.691953879289654,0.24471489676916058
Africa,Waste management and disposal,Scope 3,climate_change,kt CO2eq,11.959963095389519,0.21375920194109355
Denmark,Operational impact,Scope 3,climate_change,kt CO2eq,11.6,0.20732561820968795
Europe,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,11.312702467196386,0.20219077867532353
Asia and Pacific,Minerals and Metals,Scope 3,climate_change,kt CO2eq,10.44630937814746,0.18670582326155888
Middle East,Minerals and Metals,Scope 3,climate_change,kt CO2eq,10.151611032812353,0.18143870975880258
Middle East,Waste management and disposal,Scope 3,climate_change,kt CO2eq,9.750458486162964,0.17426895116134783
Africa,Transport,Scope 3,climate_change,kt CO2eq,7.133110188406064,0.12748935168699235
America,Minerals and Metals,Scope 3,climate_change,kt CO2eq,6.530000482416978,0.11671003335574659
Asia and Pacific,Furniture and timber,Scope 3,climate_change,kt CO2eq,6.2683363541067525,0.11203333704840034
Asia and Pacific,Textile,Scope 3,climate_change,kt CO2eq,5.814566313624766,0.10392315134426561
America,Services,Scope 3,climate_change,kt CO2eq,5.387082741660996,0.09628278101393162
Denmark,Metal Products,Scope 3,climate_change,kt CO2eq,5.18493571630842,0.09266982782423573
America,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,4.927650757582304,0.08807139996872314
Middle East,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,4.913970102804388,0.0878268870196417
Middle East,Textile,Scope 3,climate_change,kt CO2eq,4.905967397780025,0.08768385548804465
America,Metal Products,Scope 3,climate_change,kt CO2eq,3.894176756286596,0.06960022443232033
Africa,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,3.8406503857506156,0.06864355306491578
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,2.845682692775304,0.05086059685415943
Asia and Pacific,Paper Products,Scope 3,climate_change,kt CO2eq,2.7935901346967893,0.04992955187073252
Africa,Minerals and Metals,Scope 3,climate_change,kt CO2eq,2.6945653596711576,0.048159692155192495
America,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,2.5739365645232524,0.04600370598899169
Africa,Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,2.5438683641280257,0.04546630010663022
Middle East,Furniture and timber,Scope 3,climate_change,kt CO2eq,2.4752389919386983,0.04423969432934616
Denmark,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,2.409061181632123,0.04305690506783115
Africa,Services,Scope 3,climate_change,kt CO2eq,2.2417017119790072,0.04006570631704858
Denmark,Paper Products,Scope 3,climate_change,kt CO2eq,2.198049481872103,0.03928551445557052
Europe,Furniture and timber,Scope 3,climate_change,kt CO2eq,2.1864728695054816,0.03907860684214952
America,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,2.1526973072352797,0.03847493965869698
Denmark,Textile,Scope 3,climate_change,kt CO2eq,2.081599605000474,0.037204217669979785
Africa,Chemical,Scope 3,climate_change,kt CO2eq,1.9929425690716587,0.03561965949906771
Africa,Paper Products,Scope 3,climate_change,kt CO2eq,1.8198967163391593,0.03252682860282735
America,Textile,Scope 3,climate_change,kt CO2eq,1.6453172249707824,0.029406587139492735
Europe,Transport Equipment,Scope 3,climate_change,kt CO2eq,1.6178037772144214,0.028914842090771397
Europe,Textile,Scope 3,climate_change,kt CO2eq,1.6079152841650606,0.028738106061924763
Asia and Pacific,Transport Equipment,Scope 3,climate_change,kt CO2eq,1.5367740219874313,0.027466605530787308
Europe,Construction,Scope 3,climate_change,kt CO2eq,1.515590992056275,0.027088003394922542
America,Paper Products,Scope 3,climate_change,kt CO2eq,1.4252641807627164,0.025473601499030576
Middle East,Metal Products,Scope 3,climate_change,kt CO2eq,1.333836030660073,0.023839515486806545
Asia and Pacific,Construction,Scope 3,climate_change,kt CO2eq,1.1652874155780575,0.02082706326092158
Asia and Pacific,General and special Machinery,Scope 3,climate_change,kt CO2eq,1.1642641063539336,0.020808773759412
Europe,General and special Machinery,Scope 3,climate_change,kt CO2eq,1.1294372817080145,0.020186317470619275
Africa,Metal Products,Scope 3,climate_change,kt CO2eq,1.0699440404432692,0.019123000830575186
Denmark,Construction,Scope 3,climate_change,kt CO2eq,1.058831349031773,0.01892438482912157
Middle East,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,0.9151988015541339,0.01635725494111865
Denmark,Furniture and timber,Scope 3,climate_change,kt CO2eq,0.8811286318301906,0.01574832226865955
America,Furniture and timber,Scope 3,climate_change,kt CO2eq,0.8418719907087249,0.015046692321302332
Africa,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,0.6583095714685441,0.011765899903281953
Africa,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,0.5677739358167597,0.010147765710910122
America,Transport Equipment,Scope 3,climate_change,kt CO2eq,0.5574679454115604,0.009963567794356582
America,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,0.4667490317582304,0.008342157892935206
Africa,Textile,Scope 3,climate_change,kt CO2eq,0.3897683884156072,0.006966290697143064
Middle East,Paper Products,Scope 3,climate_change,kt CO2eq,0.28957670755876985,0.005175574992564482
Denmark,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,0.28785768519637356,0.005144851081012749
Denmark,General and special Machinery,Scope 3,climate_change,kt CO2eq,0.2801993525887843,0.005007974482536555
America,General and special Machinery,Scope 3,climate_change,kt CO2eq,0.2794398861892948,0.0049944006169517574
Africa,Construction,Scope 3,climate_change,kt CO2eq,0.2717246726637775,0.0048565073916243765
Middle East,Construction,Scope 3,climate_change,kt CO2eq,0.22491107868112892,0.004019812795670071
America,Construction,Scope 3,climate_change,kt CO2eq,0.22265307298039538,0.003979455689823038
Middle East,"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,0.2056050917948924,0.003674758858916871
Africa,Furniture and timber,Scope 3,climate_change,kt CO2eq,0.1666043974288547,0.002977703421843952
Middle East,General and special Machinery,Scope 3,climate_change,kt CO2eq,0.1486088237978927,0.00265607036769937
