model_id,indicator_id,demand_component_id,purchased_region_id,purchased_industry_id,value
1,1,1,2,71,7.826968651285213e-05
1,1,1,2,72,0.0002455284119716
1,1,1,2,73,0.0001642606738591
1,1,1,2,74,3.828535967308869e-05
1,1,1,2,76,6.13016401789997e-05
1,1,1,2,77,2.1052636920194145e-05
1,1,1,2,78,0.0001839915906366
1,1,1,2,79,7.807596517390266e-05
1,1,1,2,80,2.5198636871597748e-05
1,1,1,2,81,2.6148351582675883e-05
1,1,1,2,82,0.0001084114448415
1,1,1,2,84,1.847274062372648e-06
1,1,1,2,85,0.0023710957337576
1,1,1,2,86,0.0010044566396405
1,1,1,2,87,8.084915179393266e-05
1,1,1,2,88,0.0009705528927371
1,1,1,2,89,0.0003684020715458
1,1,1,2,90,0.0001048655144012
1,1,1,2,91,0.000742555953458
1,1,1,2,92,7.575990761923043e-06
1,1,1,2,93,0.000134765727503
1,1,1,2,95,4.993704711046112e-06
1,1,1,2,96,0.0002106965566082
1,1,1,2,97,0.0005353427710221
1,1,1,2,98,0.0004508334436556
1,1,1,2,99,1.3137096026174086e-06
1,1,1,2,100,5.283574322103245e-07
1,1,1,2,101,3.7440272964405745e-05
1,1,1,2,102,5.080325035903684e-05
1,1,1,2,103,5.905746202626469e-08
1,1,1,2,107,5.844554641805447e-06
1,1,1,2,108,6.818218351950174e-05
1,1,1,2,109,0.000610229009299
1,1,1,2,110,7.873632584192885e-05
1,1,1,2,112,4.0617114721526814e-05
1,1,1,2,113,0.0020164675809365
1,1,1,2,114,1.0945269585218437e-06
1,1,1,2,115,0.0005517304710829
1,1,1,2,116,4.843511948740812e-05
1,1,1,2,117,0.038587676713033
1,1,1,2,118,1.984733056394831e-05
1,1,1,2,119,0.0661164549245959
1,1,1,2,120,0.0023174218376984
1,1,1,2,121,0.0261586038092255
1,1,1,2,122,1.068382481321362e-05
1,1,1,2,123,5.143564740057681e-05
1,1,1,2,124,1.6963516390127097e-05
1,1,1,2,125,0.0004442951855226
1,1,1,2,126,0.0046065812937734
1,1,1,2,127,0.0051050568942953
1,1,1,2,128,0.0003021000877967
1,1,1,2,129,2.562501040352069e-05
1,1,1,2,130,5.723311871476737e-05
1,1,1,2,131,0.0009726320905611
1,1,1,2,132,0.0001309182027039
1,1,1,2,133,0.0001421590144298
1,1,1,2,134,0.0019611566019922
1,1,1,2,135,0.0310896173331691
1,1,1,2,136,0.0003662335487011
1,1,1,2,137,0.0001621927036107
1,1,1,2,138,1.9277979642953437e-05
1,1,1,2,139,9.09495213054431e-05
1,1,1,2,140,9.800414093659892e-05
1,1,1,2,141,9.68370369346742e-05
1,1,1,2,142,8.190873747671807e-05
1,1,1,2,143,3.830979430075865e-07
1,1,1,2,144,2.861410961551472e-05
1,1,1,2,145,4.5697281527683896e-05
1,1,1,2,146,3.3161046619460215e-05
1,1,1,2,147,1.8805537650765575e-06
1,1,1,2,148,1.7658110158932587e-05
1,1,1,2,149,0.0001280707417595
1,1,1,2,151,7.052375611779454e-06
1,1,1,2,152,1.0669190070671229e-05
1,1,1,2,153,1.1802171821304471e-06
1,1,1,2,154,1.0600085353116772e-06
1,1,1,2,155,3.420551842005898e-06
1,1,1,2,156,1.070339990770027e-05
1,1,1,2,157,3.344239575712748e-07
1,1,1,2,158,3.643671527515735e-07
1,1,1,2,159,0.0002627541037954
1,1,1,2,160,0.0016811895104247
1,1,1,2,161,0.0010154242133601
1,1,1,3,1,6.484802438958348e-08
1,1,1,3,2,2.541652553375673e-07
1,1,1,3,3,3.076988015512669e-07
1,1,1,3,4,5.1753606881044446e-05
1,1,1,3,5,0.0003366415876437
1,1,1,3,6,8.385065673058023e-07
1,1,1,3,7,2.1604748428089328e-10
1,1,1,3,8,8.056125827345989e-05
1,1,1,3,9,1.7941705309535124e-07
1,1,1,3,10,3.6619039288977024e-08
1,1,1,3,11,1.0795937214969055e-07
1,1,1,3,12,1.9937415877130295e-05
1,1,1,3,13,4.599180396752944e-06
1,1,1,3,14,3.4306307873881395e-08
1,1,1,3,15,1.6757767526756366e-09
1,1,1,3,18,4.904896726119711e-06
1,1,1,3,19,1.2003195103696626e-06
1,1,1,3,20,3.36324679342351e-06
1,1,1,3,21,1.8990524316347054e-07
1,1,1,3,22,1.2819144955394508e-06
1,1,1,3,23,1.5020579756264957e-08
1,1,1,3,26,1.4346671653306946e-07
1,1,1,3,29,5.057902562035171e-07
1,1,1,3,30,4.052248793587909e-08
1,1,1,3,32,1.2998621236216582e-06
1,1,1,3,33,8.924256946858902e-06
1,1,1,3,34,1.7213064161068476e-06
1,1,1,3,35,0.0001449028929955
1,1,1,3,36,5.242728045969932e-05
1,1,1,3,37,1.7494098282314594e-05
1,1,1,3,38,3.148248401457873e-05
