model_id,capital_treatment_id,indicator_id,producing_region_id,producing_industry_id,value
1,4,2,2,37,0.0079056554907186
1,4,2,2,38,0.0003225982289772
1,4,2,2,39,0.0109559338829686
1,4,2,2,40,0.1079497042574419
1,4,2,2,41,0.014007409115843
1,4,2,2,42,0.0077994875263435
1,4,2,2,43,0.1497943120546157
1,4,2,2,44,0.0336259458928174
1,4,2,2,45,0.0310041313495729
1,4,2,2,46,0.004140516550457
1,4,2,2,47,0.0325486011335325
1,4,2,2,48,0.0066703180990374
1,4,2,2,49,0.0004011171254712
1,4,2,2,50,0.0374632017021238
1,4,2,2,51,0.0178040874752961
1,4,2,2,52,0.005591222429653
1,4,2,2,53,0.0305097373794515
1,4,2,2,54,0.0191320458486418
1,4,2,2,55,0.0537928817283553
1,4,2,2,56,0.055449472833102
1,4,2,2,57,2.029847682473231
1,4,2,2,58,0.0002224019729611
1,4,2,2,59,7.473881494193576
1,4,2,2,60,0.0366178133956495
1,4,2,2,61,0.0040124039894289
1,4,2,2,62,0.0125803318452574
1,4,2,2,63,2.9463277489809285
1,4,2,2,64,0.0641724764054289
1,4,2,2,65,0.3467764611922053
1,4,2,2,66,0.2378198070963422
1,4,2,2,67,0.0538986075122125
1,4,2,2,68,0.0811339434933641
1,4,2,2,69,1.279750373980099
1,4,2,2,70,0.6283269982801792
1,4,2,2,71,0.1211542603152134
1,4,2,2,72,0.6223582929899149
1,4,2,2,73,0.3174383877748886
1,4,2,2,74,0.0114889464252411
1,4,2,2,75,1.2824030426651124e-09
1,4,2,2,76,0.0233807969564532
1,4,2,2,77,0.0086998022362714
1,4,2,2,78,0.0029237798374932
1,4,2,2,79,0.0061726964172172
1,4,2,2,80,0.012893862921719
1,4,2,2,81,0.017648696597205
1,4,2,2,82,0.0028917314853982
1,4,2,2,83,0.0023777361442884
1,4,2,2,84,0.0495044155950617
1,4,2,2,85,0.128255003369028
1,4,2,2,86,0.0367357779994232
1,4,2,2,87,0.0027383786500516
1,4,2,2,88,0.1341347189154831
1,4,2,2,89,0.3155279774739264
1,4,2,2,90,0.0725654766251056
1,4,2,2,91,0.2948021352815188
1,4,2,2,92,0.2006546641920146
1,4,2,2,93,0.0694794196630697
1,4,2,2,94,0.0659883429802459
1,4,2,2,95,0.2235595422811637
1,4,2,2,96,0.389160464057239
1,4,2,2,97,1.1553449026619054
1,4,2,2,98,0.0090977858220604
1,4,2,2,99,0.0024298689282746
1,4,2,2,100,0.7272711509762514
1,4,2,2,101,0.0080872625616055
1,4,2,2,102,0.3023584181765807
1,4,2,2,103,5.582355544552467e-05
1,4,2,2,107,0.0179280286569672
1,4,2,2,108,0.0010430584872025
1,4,2,2,109,0.0479855301707351
1,4,2,2,110,0.0833146247646128
1,4,2,2,112,0.0084377779688731
1,4,2,2,113,0.1600544284627701
1,4,2,2,114,0.0004042932485152
1,4,2,2,115,0.0362375058907578
1,4,2,2,116,0.0053734245019248
1,4,2,2,117,0.4600095926143456
1,4,2,2,118,0.0061946869818987
1,4,2,2,119,0.0982059758185268
1,4,2,2,120,0.0606935275684866
1,4,2,2,121,0.0544529382907075
1,4,2,2,122,0.0470312306014521
1,4,2,2,123,3.882369698544065
1,4,2,2,124,0.1794334910318452
1,4,2,2,125,1.3485960092734697
1,4,2,2,126,0.3761243644631084
1,4,2,2,127,0.0925431003766066
1,4,2,2,128,0.0303153247554001
1,4,2,2,129,0.0077651451980326
1,4,2,2,130,0.082323105766757
1,4,2,2,131,0.0505030727261515
1,4,2,2,132,0.1496406380004259
1,4,2,2,133,0.0858106955126953
1,4,2,2,134,0.0487807592931362
1,4,2,2,135,0.4321008175743976
1,4,2,2,136,0.0264521898070303
1,4,2,2,137,0.0164505297357526
1,4,2,2,138,0.0016046157316619
1,4,2,2,139,0.0140967590170845
1,4,2,2,140,0.0120592500962418
1,4,2,2,141,0.020463094060799
1,4,2,2,142,0.0943765623679903
1,4,2,2,143,0.0046595265239248
1,4,2,2,144,0.0043207306779342
1,4,2,2,145,0.0383049097481301
1,4,2,2,146,0.0015126585947927
1,4,2,2,147,0.0001338058211325
1,4,2,2,148,0.0057112411631412
1,4,2,2,149,0.0441444342697827
1,4,2,2,150,2.7678309146921417e-06
1,4,2,2,151,0.0716712598452194
1,4,2,2,152,0.1801072484957312
1,4,2,2,153,0.7212820103700541
1,4,2,2,154,0.1588215671027463
1,4,2,2,155,0.1182444429961533
1,4,2,2,156,0.0020979100151703
1,4,2,2,157,0.0862028033979244
1,4,2,2,158,0.012097447940447
1,4,2,2,159,0.0160231133358381
1,4,2,2,160,0.0100469720927256
1,4,2,2,161,0.0042836160236697
1,4,2,2,162,0.0006097218739006
1,4,2,3,1,0.0003794956976815
1,4,2,3,2,0.1236218073249612
1,4,2,3,3,0.0620650416681272
1,4,2,3,4,0.011740452800771
1,4,2,3,5,0.2046795173756056
1,4,2,3,6,0.0007081710543207
1,4,2,3,7,0.0001140119890104
1,4,2,3,8,0.0078769919505442
1,4,2,3,9,0.0123207020668733
1,4,2,3,10,0.0050388391396077
1,4,2,3,11,0.0050202708746169
1,4,2,3,12,0.0494633856366624
1,4,2,3,13,3.327226656432054e-05
1,4,2,3,14,0.0405493983485727
1,4,2,3,15,0.0133479831182253
1,4,2,3,18,0.0085003757042973
1,4,2,3,19,5.827315829195888e-06
1,4,2,3,20,0.321822775318725
1,4,2,3,21,0.005577996506712
1,4,2,3,22,0.0343871411496998
