model_id,indicator_id,demand_component_id,producing_region_id,producing_industry_id,value
1,1,1,3,153,1.3100159084264663e-06
1,1,1,3,154,7.424667812802169e-07
1,1,1,3,155,1.5396201661515028e-07
1,1,1,3,156,9.99998597183278e-07
1,1,1,3,157,1.468373944569698e-07
1,1,1,3,158,5.483387157921062e-07
1,1,1,3,160,8.690932587686045e-07
1,1,1,3,161,9.52686766179694e-07
1,1,1,4,2,2.6347658166740316e-05
1,1,1,4,3,2.591330461913644e-05
1,1,1,4,4,0.0013569821844841
1,1,1,4,5,1.6868969106330407e-07
1,1,1,4,8,0.0003059661166562
1,1,1,4,9,2.836643698088651e-05
1,1,1,4,10,1.2339436475301745e-05
1,1,1,4,11,3.0170420031973075e-06
1,1,1,4,12,2.3912550900175458e-05
1,1,1,4,13,2.057594633514656e-06
1,1,1,4,14,5.843587136344297e-06
1,1,1,4,18,4.475328033058861e-09
1,1,1,4,35,1.058600937234906e-07
1,1,1,4,36,6.481521648057041e-07
1,1,1,4,37,2.448456307482464e-07
1,1,1,4,38,8.666867757014185e-09
1,1,1,4,39,3.265181922747059e-06
1,1,1,4,40,1.3719559786586151e-05
1,1,1,4,42,2.0596666087140412e-08
1,1,1,4,43,4.267978934658495e-06
1,1,1,4,44,1.1940539293825736e-06
1,1,1,4,45,3.1500080455876085e-06
1,1,1,4,46,5.116768829901647e-09
1,1,1,4,47,7.303283725811929e-09
1,1,1,4,48,1.3014850415232743e-06
1,1,1,4,49,2.3525019677224543e-09
1,1,1,4,50,6.828714890518229e-09
1,1,1,4,51,1.2438978435483655e-09
