model_id,indicator_id,scope_id,producing_region_id,producing_industry_id,value
1,2,3,23,109,3.836109866008644e-08
1,2,3,23,111,0.0013628684666453
1,2,3,24,96,1.3153977528571758e-06
1,2,3,24,97,6.337377673502696e-09
1,2,3,24,98,6.795565135407017e-11
1,2,3,24,99,1.4584928693262423e-10
1,2,3,24,101,1.5245093550904222e-10
1,2,3,24,102,6.759501646815645e-09
1,2,3,24,107,2.652244835107251e-09
1,2,3,25,96,0.0001683044805498
1,2,3,25,97,0.0001112067727389
1,2,3,25,98,0.0006287955045589
1,2,3,25,99,0.0049927208297613
1,2,3,25,100,0.0014611690868278
1,2,3,25,101,7.269072287623779e-05
1,2,3,25,102,0.0006783315869154
1,2,3,25,103,1.5159899257160776e-06
1,2,3,25,107,0.0028365800563254
1,2,3,25,108,4.991424685280766e-06
1,2,3,25,109,8.225455539715494e-06
1,2,3,25,111,0.1444994876607162
1,2,3,26,96,1.3125794222530837e-05
1,2,3,26,97,3.571757815211432e-05
1,2,3,26,98,1.0248819970913984e-05
1,2,3,26,99,0.0001020115891022
1,2,3,26,101,1.007177144484017e-05
1,2,3,26,102,9.358871442755396e-06
1,2,3,26,108,1.9006932048654872e-06
1,2,3,26,109,3.5516792362332065e-07
1,2,3,26,111,0.0581269013223244
1,2,3,27,96,3.0699213694457254e-08
1,2,3,27,97,0.0002368531486623
1,2,3,27,98,5.21101457240686e-10
1,2,3,27,99,2.2490796148464332e-10
1,2,3,27,101,5.202663246280509e-08
1,2,3,27,102,3.156251588131969e-05
1,2,3,27,103,1.6221118940138958e-06
1,2,3,27,107,1.0298180386198497e-07
1,2,3,27,108,2.374214493657921e-07
1,2,3,27,109,7.250417251927292e-05
1,2,3,27,111,0.0675455261362989
1,2,3,28,96,0.1004878449104373
1,2,3,28,97,0.379060505029516
1,2,3,28,98,0.0001091035196861
1,2,3,28,99,8.669645337669195e-05
1,2,3,28,100,0.0102757605835851
1,2,3,28,101,0.0054282516225133
1,2,3,28,102,0.006757437069901
1,2,3,28,103,0.0001010052108579
1,2,3,28,107,0.00097945282268
1,2,3,28,109,0.0009378408054307
1,2,3,28,111,0.0042628240005914
1,2,3,29,96,3.378463430093303e-07
1,2,3,29,97,1.211058444071141e-07
1,2,3,29,98,5.1388471236741294e-11
1,2,3,29,99,1.2110537858544457e-10
1,2,3,29,100,6.83423363864881e-12
1,2,3,29,101,4.043859620690843e-09
1,2,3,29,102,2.277520970198524e-09
1,2,3,29,103,3.5656830817290326e-11
1,2,3,29,104,8.844569960255113e-14
1,2,3,29,106,8.671985657415502e-13
1,2,3,29,107,1.6203770723313276e-11
1,2,3,29,108,5.504081992733425e-10
1,2,3,29,109,6.468540247793859e-11
1,2,3,29,111,1.2103391381186115e-10
1,2,3,31,96,0.0001185341491583
1,2,3,31,97,6.818862615092869e-09
1,2,3,31,98,4.15155184173841e-12
1,2,3,31,99,6.671893745984082e-12
1,2,3,31,100,1.3154298547800365e-12
1,2,3,31,101,9.716858930711275e-11
1,2,3,31,102,4.106656855649855e-12
1,2,3,31,103,1.0348413646380815e-11
1,2,3,31,106,1.4394335494070855e-10
1,2,3,31,107,6.434681949180091e-09
1,2,3,32,96,0.1097897017964728
1,2,3,32,97,0.0420658299346621
1,2,3,32,98,1.6545786622371003e-08
1,2,3,32,99,0.000334081098763
1,2,3,32,100,0.0004546286090063
1,2,3,32,101,0.0097375587509896
1,2,3,32,102,0.0001698663424589
1,2,3,32,103,0.0009670822375134
1,2,3,32,105,0.001358038827237
1,2,3,32,107,2.5298261348675605e-05
1,2,3,32,108,1.5543993237457e-05
1,2,3,32,109,0.0039625680255711
1,2,3,34,96,0.0004900403516084
1,2,3,34,97,0.0165703494605251
1,2,3,34,98,1.0054584484768033e-08
1,2,3,34,99,6.02179495397373e-08
1,2,3,34,100,2.463067327735544e-07
1,2,3,34,101,0.0076195005672019
1,2,3,34,102,3.199294000879277e-07
1,2,3,34,107,0.0020933366241744
1,2,3,34,109,5.069030455597675e-06
1,2,3,36,96,8.999617805870955e-06
1,2,3,36,97,8.554630703125847e-08
1,2,3,36,98,1.2475985133074428e-10
1,2,3,36,99,1.1140348451290797e-07
1,2,3,36,100,2.300936816141953e-07
1,2,3,36,101,5.6305273659687336e-06
1,2,3,36,102,2.164290680535535e-09
1,2,3,36,103,7.543188362689277e-08
1,2,3,36,106,1.1646321780538474e-09
1,2,3,36,107,9.743342752325436e-12
