country_producing,sector_producing,background_year,analysis_year,country_consuming,sector_consuming,value,unit
DNK,Sea and coastal water transport,2022,2022,DNK,Mining of other non-ferrous metal ores and concentrates,3.073474524712963e-08,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Sea and coastal water transport,4508.248455806651,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Other land transport,1532.6011050973425,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of machinery and equipment n.e.c. (29),797.2569274588076,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Other business activities (74),710.2110262973239,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Post and telecommunications (64),472.32183398284513,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Health and social work (85),426.4777933291881,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of electrical machinery and apparatus n.e.c. (31),348.5670068677103,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",336.9161474104725,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Supporting and auxiliary transport activities; activities of travel agencies (63),133.64842752178967,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Manufacture of fabricated metal products, except machinery and equipment (28)",92.70941669201005,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of fish products,92.00918672648193,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Transport via pipelines,86.74919551637791,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Education (80),80.53145136903115,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Renting of machinery and equipment without operator and of personal and household goods (71),76.28061360078935,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Processing of Food products nec,76.21519797262597,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Computer and related activities (72),28.703943044829337,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Public administration and defence; compulsory social security (75),18.430330123615917,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Re-processing of secondary plastic into new plastic,13.434965740391602,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Construction (45),10.764804437977515,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Financial intermediation, except insurance and pension funding (65)",8.090176808285927,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Recreational, cultural and sporting activities (92)",7.3453478067126,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Real estate activities (70),5.883375225919369,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Publishing, printing and reproduction of recorded media (22)",5.850069918337487,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Manufacture of cement, lime and plaster",5.7002929515952445,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of other non-metallic mineral products n.e.c.,5.6880369298893045,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Manufacture of motor vehicles, trailers and semi-trailers (34)",5.079852078457764,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",4.828524159050292,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Processing of meat pigs,4.214971993518454,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Activities of membership organisation n.e.c. (91),4.039153488178634,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of rubber and plastic products (25),3.570117179417318,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Plastics, basic",3.357173496494476,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",3.2626609919632763,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of beverages,3.2106955492878075,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Manufacture of bricks, tiles and construction products, in baked clay",3.098591283231145,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of furniture; manufacturing n.e.c. (36),3.0513951005230706,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Processed rice,2.7995616822017566,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Processing of dairy products,2.7498537002123964,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Hotels and restaurants (55),2.733384534769768,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Manufacture of radio, television and communication equipment and apparatus (32)",2.371885489815045,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",2.3100293672866323,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Other service activities (93),1.680436218724382,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Quarrying of sand and clay,1.4946920979238887,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Re-processing of ash into clinker,1.4677125614879196,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of other transport equipment (35),1.2513709651726732,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Chemicals nec,1.1321502094125078,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Petroleum Refinery,1.098131382524991,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Activities auxiliary to financial intermediation (67),1.0664373016835713,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.024349438395924,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Collection, purification and distribution of water (41)",0.7168958103953591,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Processing of meat cattle,0.6845859028537031,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Sugar refining,0.6787436230953874,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of ceramic goods,0.669296411831813,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.661759827898841,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Re-processing of secondary wood material into new wood material,0.638902984658139,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of glass and glass products,0.6080122198978527,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Forestry, logging and related service activities (02)",0.5950694016710658,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Research and development (73),0.5862685480517759,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Production of meat products nec,0.5662570095561864,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Re-processing of secondary aluminium into new aluminium,0.560152618372157,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Copper production,0.5455241980496948,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Inland water transport,0.48614351484574503,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of tobacco products (16),0.42663585400800064,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Transport via railways,0.3648350971145214,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of textiles (17),0.3401665713847138,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Re-processing of secondary glass into new glass,0.3356824812535442,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of office machinery and computers (30),0.31688708112386743,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Processing vegetable oils and fats,0.2757438753474907,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Re-processing of secondary paper into new pulp,0.23895635715124872,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Incineration of waste: Paper,0.23208830149513948,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Incineration of waste: Food,0.220669740435574,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Manufacture of wearing apparel; dressing and dyeing of fur (18),0.1992278276939648,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.1882545479994874,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Processing of meat poultry,0.18548051236982369,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Recycling of bottles by direct reuse,0.1814499211744664,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,P- and other fertiliser,0.17871143309340815,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Aluminium production,0.1683768056721438,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Precious metals production,0.14452169009374635,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Distribution and trade of electricity,0.13232171742219903,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.12167455227458857,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Biogasification of sewage slugde, incl. land application",0.11442599386199084,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",0.11102100571429172,M.EUR
