study,consuming_country_iso3,reference_year,figure,article_page,indicator,figure_group,published_share_pct,archive_share_pct,difference_pp,note,source
steenmeijer_2022,NLD,2016,2,e954,material_extraction,Other,1.164,0.9337945375936152,-0.23020546240638473,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,material_extraction,Mining of minerals and metals,97.837,98.06932202336483,0.23232202336483,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,material_extraction,Agricultural sector,0.273,0.271555880224501,-0.0014441197754990198,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,material_extraction,Fossil fuel industry,0.091,0.09690940286016338,0.005909402860163379,"drawn at the composing spreadsheet's hairline minimum, so the published value is a floor rather than a measurement","Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,material_extraction,Pharmaceutical and chemical industry,0.636,0.6246969535291008,-0.011303046470899192,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,material_extraction,Electricity sector,0.091,0.003721202427794189,-0.0872787975722058,"drawn at the composing spreadsheet's hairline minimum, so the published value is a floor rather than a measurement","Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,blue_water_consumption,Other,5.161,4.911507748994972,-0.24949225100502748,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,blue_water_consumption,Mining of minerals and metals,0.545,0.6087897442146771,0.06378974421467709,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,blue_water_consumption,Agricultural sector,88.753,88.84821360797919,0.09521360797918987,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,blue_water_consumption,Fossil fuel industry,0.091,0.029383545829677078,-0.061616454170322923,"drawn at the composing spreadsheet's hairline minimum, so the published value is a floor rather than a measurement","Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,2,e954,blue_water_consumption,Pharmaceutical and chemical industry,3.724,3.793314550549151,0.06931455054915059,,"Steenmeijer et al. (2022) figure 2, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
