study,consuming_country_iso3,reference_year,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,component_type,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,OFOD,Processing of Food products nec,Food and catering,MRIO supply-chain node,0.1966025064867915,climate_change,kt CO2eq per M.EUR,1.297382521451078,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,BEVR,Manufacture of beverages,Food and catering,MRIO supply-chain node,0.05628230316951436,climate_change,kt CO2eq per M.EUR,1.101737291300003,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,FSHP,Manufacture of fish products,Food and catering,MRIO supply-chain node,0.1291642073037384,climate_change,kt CO2eq per M.EUR,1.557104975610426,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,TOBC,Manufacture of tobacco products (16),Food and catering,MRIO supply-chain node,0.0005109003691900574,climate_change,kt CO2eq per M.EUR,2.176182456687572,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,TEXT,Manufacture of textiles (17),Textile,MRIO supply-chain node,0.2183237683651878,climate_change,kt CO2eq per M.EUR,1.288284921419333,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,GARM,Manufacture of wearing apparel; dressing and dyeing of fur (18),Textile,MRIO supply-chain node,0.002742533001960893,climate_change,kt CO2eq per M.EUR,0.5094783061901476,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,LETH,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Textile,MRIO supply-chain node,0.01121125392070704,climate_change,kt CO2eq per M.EUR,0.2971863631702264,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,WOOD,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Furniture and timber,MRIO supply-chain node,0.2208192139314082,climate_change,kt CO2eq per M.EUR,1.292743893526978,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,PULP,Pulp,Paper Products,MRIO supply-chain node,0.004404050884526715,climate_change,kt CO2eq per M.EUR,6.56929314157791,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,PAPR,Re-processing of secondary paper into new pulp,Paper Products,MRIO supply-chain node,0.007784872125148811,climate_change,kt CO2eq per M.EUR,2.405423252774815,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,PAPE,Paper,Paper Products,MRIO supply-chain node,0.1492384955590016,climate_change,kt CO2eq per M.EUR,1.153749213287856,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,MDIA,"Publishing, printing and reproduction of recorded media (22)",Paper Products,MRIO supply-chain node,0.04527527045551997,climate_change,kt CO2eq per M.EUR,0.452687630072301,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,COKE,Manufacture of coke oven products,Coal and Petroleum,MRIO supply-chain node,0.02458995993974722,climate_change,kt CO2eq per M.EUR,4.107426048048763,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,REFN,Petroleum Refinery,Coal and Petroleum,MRIO supply-chain node,0.8854323438049072,climate_change,kt CO2eq per M.EUR,1.733326232872845,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,NUCF,Processing of nuclear fuel,Chemical,MRIO supply-chain node,0.03190445580995853,climate_change,kt CO2eq per M.EUR,3.763214512682569,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,PLAS,"Plastics, basic",Chemical,MRIO supply-chain node,0.3362477955946835,climate_change,kt CO2eq per M.EUR,1.371263836793886,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,NFER,N-fertiliser,Chemical,MRIO supply-chain node,0.007445557964699812,climate_change,kt CO2eq per M.EUR,3.245337578746985,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,PFER,P- and other fertiliser,Chemical,MRIO supply-chain node,0.04419395818007709,climate_change,kt CO2eq per M.EUR,1.605473377967252,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,CHEM,Chemicals nec,Chemical,MRIO supply-chain node,31.59129498636861,climate_change,kt CO2eq per M.EUR,4.531250766006147,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,RUBP,Manufacture of rubber and plastic products (25),Chemical,MRIO supply-chain node,0.7476287765044293,climate_change,kt CO2eq per M.EUR,1.516111911277289,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,GLAS,Manufacture of glass and glass products,Non-metallic mineral products,MRIO supply-chain node,0.04954421757572636,climate_change,kt CO2eq per M.EUR,2.240482353576831,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,CRMC,Manufacture of ceramic goods,Non-metallic mineral products,MRIO supply-chain node,0.008284185193667104,climate_change,kt CO2eq per M.EUR,2.878440031971636,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,BRIK,"Manufacture of bricks, tiles and construction products, in baked clay",Non-metallic mineral products,MRIO supply-chain node,0.005556444659113939,climate_change,kt CO2eq per M.EUR,3.210786913638966,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,CMNT,"Manufacture of cement, lime and plaster",Non-metallic mineral products,MRIO supply-chain node,0.0128548114494815,climate_change,kt CO2eq per M.EUR,17.25551316570088,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,ONMM,Manufacture of other non-metallic mineral products n.e.c.,Non-metallic mineral products,MRIO supply-chain node,0.006653346406506613,climate_change,kt CO2eq per M.EUR,4.496342164163767,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,STEL,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Metal Products,MRIO supply-chain node,0.004462619232374359,climate_change,kt CO2eq per M.EUR,7.47021623118339,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,PREM,Precious metals production,Metal Products,MRIO supply-chain node,0.001625409092855667,climate_change,kt CO2eq per M.EUR,6.76568595238408,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,ALUM,Aluminium production,Metal Products,MRIO supply-chain node,0.005111844728251181,climate_change,kt CO2eq per M.EUR,4.205485792069548,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,LZTP,"Lead, zinc and tin production",Metal Products,MRIO supply-chain node,0.001188743177821731,climate_change,kt CO2eq per M.EUR,3.128062796552795,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,COPP,Copper production,Metal Products,MRIO supply-chain node,0.003870735815934943,climate_change,kt CO2eq per M.EUR,1.54025058077198,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,WE,RoW Europe,Europe,ONFM,Other non-ferrous metal production,Metal Products,MRIO supply-chain node,0.002674085348678237,climate_change,kt CO2eq per M.EUR,2.492861557164424,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
