study,consuming_country_iso3,reference_year,purchased_sector_name,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,"Manufacture of motor vehicles, trailers and semi-trailers (34)",39.17426208495848,climate_change,kt CO2eq per M.EUR,0.3872291146669169,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of office machinery and computers (30),206.5416557441139,climate_change,kt CO2eq per M.EUR,0.580137293522394,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of other non-metallic mineral products n.e.c.,1.145431817762113,climate_change,kt CO2eq per M.EUR,1.755594051176451,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of other transport equipment (35),27.00911887318504,climate_change,kt CO2eq per M.EUR,0.3679390897622355,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Manufacture of radio, television and communication equipment and apparatus (32)",64.4197593546968,climate_change,kt CO2eq per M.EUR,0.2825251676792697,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of rubber and plastic products (25),364.9111650486872,climate_change,kt CO2eq per M.EUR,0.5637220964760328,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of textiles (17),65.80876064928943,climate_change,kt CO2eq per M.EUR,1.044510368715684,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of tobacco products (16),1.397231555107597,climate_change,kt CO2eq per M.EUR,0.3676033651164203,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Manufacture of wearing apparel; dressing and dyeing of fur (18),9.703894945839293,climate_change,kt CO2eq per M.EUR,0.3384015207195367,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",14.51068869500482,climate_change,kt CO2eq per M.EUR,0.6497360004093152,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Meat animals nec,11.80315617981163,climate_change,kt CO2eq per M.EUR,1.670590853774927,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Mining of aluminium ores and concentrates,0.2396791051584998,climate_change,kt CO2eq per M.EUR,1.923523128721797,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",22.61084527583717,climate_change,kt CO2eq per M.EUR,0.7586762237837996,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Mining of coal and lignite; extraction of peat (10),0.4490866097249797,climate_change,kt CO2eq per M.EUR,3.089570583809881,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Mining of copper ores and concentrates,66.65619302069288,climate_change,kt CO2eq per M.EUR,0.6515311281210601,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Mining of iron ores,0.3684551674272017,climate_change,kt CO2eq per M.EUR,1.140749031289906,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Mining of lead, zinc and tin ores and concentrates",4.843542606413019,climate_change,kt CO2eq per M.EUR,0.409046059979524,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Mining of nickel ores and concentrates,3.01302542717711,climate_change,kt CO2eq per M.EUR,0.4506868795482444,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Mining of other non-ferrous metal ores and concentrates,0.9260724205872299,climate_change,kt CO2eq per M.EUR,2.459459162329294,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Mining of precious metal ores and concentrates,42.51833437488393,climate_change,kt CO2eq per M.EUR,0.2253399134584588,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Mining of uranium and thorium ores (12),0.2431714273580343,climate_change,kt CO2eq per M.EUR,0.4477150561220765,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
