study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_sector_group,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Indirect,Natural gas and gaseous fuels,blue_water_consumption,Mm3,0.02465750030748404,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Non-metallic mineral products,blue_water_consumption,Mm3,0.4850257120370136,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Paper Products,blue_water_consumption,Mm3,2.257194240129095,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Private travel,blue_water_consumption,Mm3,0.2925,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Services,blue_water_consumption,Mm3,2.040248964570809,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,"Steam, hot water supply and water distribution",blue_water_consumption,Mm3,0.003040760431561207,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Textile,blue_water_consumption,Mm3,4.412988401955636,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Transport,blue_water_consumption,Mm3,0.07077705765920714,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Transport Equipment,blue_water_consumption,Mm3,0.03727156005207549,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Waste management and disposal,blue_water_consumption,Mm3,0.09183564959850127,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Direct,Operational impact,land_use,km2,0.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Chemical,land_use,km2,3.220182828000564,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Coal and Petroleum,land_use,km2,1.030307285537484,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Construction,land_use,km2,0.9321282181190794,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,"Electrical, electronic and measuring equipment",land_use,km2,0.02439429912978401,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Electricity,land_use,km2,3.844265158700573,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Food and catering,land_use,km2,23455.16986377824,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
