study,consuming_country_iso3,reference_year,purchased_sector_group,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Natural gas and gaseous fuels,waste_generation,kt,1.035451231180182,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Non-metallic mineral products,waste_generation,kt,6.468603038484286,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Operational impact,waste_generation,kt,190.2618270286488,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Paper Products,waste_generation,kt,73.3996709039541,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Private travel,waste_generation,kt,0.0,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Services,waste_generation,kt,279.4048384517104,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Steam, hot water supply and water distribution",waste_generation,kt,3.935107038891188,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Textile,waste_generation,kt,11.0857628273816,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport,waste_generation,kt,45.52985326116639,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Transport Equipment,waste_generation,kt,9.317347322419257,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Waste management and disposal,waste_generation,kt,58.0608345278436,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
