study,consuming_country_iso3,reference_year,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,component_type,demand_component,indicator,unit,value,source
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,SDCL,Quarrying of sand and clay,Minerals and Metals,MRIO supply-chain node,total,expenditure,M.EUR,0.04668598952418237,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Minerals and Metals,MRIO supply-chain node,total,expenditure,M.EUR,0.0208900030616668,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PCAT,Processing of meat cattle,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.7608456791620527,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PPIG,Processing of meat pigs,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.1022254722443474,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PPLT,Processing of meat poultry,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.02814104992376267,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,POME,Production of meat products nec,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.005761079103320409,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,VOIL,Processing vegetable oils and fats,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.003277810549595469,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,DAIR,Processing of dairy products,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.2260161305240802,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,RICE,Processed rice,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.0001924099410154296,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,SUGR,Sugar refining,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.02434173563635693,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
