study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_country_name,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Indirect,Brazil,material_extraction,kt,299.5988342235659,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,material_extraction,kt,41.29499502122184,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Canada,material_extraction,kt,104.4218067349025,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,China,material_extraction,kt,7315.616100832662,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Croatia,material_extraction,kt,7.347808489573112,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Cyprus,material_extraction,kt,3.311604693586264,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Czech Republic,material_extraction,kt,29.1364152990308,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Denmark,material_extraction,kt,21.48854449505745,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Estonia,material_extraction,kt,3.714468565012919,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Finland,material_extraction,kt,61.42605542707343,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,France,material_extraction,kt,173.9461845486081,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Germany,material_extraction,kt,328.6556575276701,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Global,material_extraction,kt,42.17910000000001,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Greece,material_extraction,kt,49.90688336893015,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Hungary,material_extraction,kt,14.07837635679107,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,India,material_extraction,kt,16071.24966069756,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Indonesia,material_extraction,kt,914.8113079144266,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Ireland,material_extraction,kt,19.66396169372323,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Italy,material_extraction,kt,70.14054559568017,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Japan,material_extraction,kt,54.57573354397344,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Latvia,material_extraction,kt,1.28542960637208,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Lithuania,material_extraction,kt,4.694535762498094,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Luxembourg,material_extraction,kt,1.028107963102866,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Malta,material_extraction,kt,0.8663022043790375,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Mexico,material_extraction,kt,103.794690983489,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Netherlands,material_extraction,kt,831.7984015788539,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Norway,material_extraction,kt,45.57799685936171,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Poland,material_extraction,kt,150.4783205781284,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Portugal,material_extraction,kt,47.31529279933758,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,RoW Africa,material_extraction,kt,298.6950489599387,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,RoW America,material_extraction,kt,603.5238612593004,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,RoW Asia and Pacific,material_extraction,kt,463.0451553138093,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,RoW Europe,material_extraction,kt,101.2268956488032,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,RoW Middle East,material_extraction,kt,3232.671914984041,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Romania,material_extraction,kt,18.29731216836522,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Russia,material_extraction,kt,362.0873068995866,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Slovakia,material_extraction,kt,7.442393271571718,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Slovenia,material_extraction,kt,4.505322927851108,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,South Africa,material_extraction,kt,158.9083785036671,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,South Korea,material_extraction,kt,25.23598662849838,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Spain,material_extraction,kt,69.62217717416627,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Sweden,material_extraction,kt,107.503510788361,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Switzerland,material_extraction,kt,96.9534387692119,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Taiwan,material_extraction,kt,41.21195903736463,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Turkey,material_extraction,kt,172.6636276974504,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,United Kingdom,material_extraction,kt,91.12625882734922,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
