study,consuming_country_iso3,reference_year,purchased_country_name,purchased_sector_group,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,Brazil,Furniture and timber,0.1572918046868207,climate_change,kt CO2eq per M.EUR,0.5497056400042061,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,General and special Machinery,0.6037641086422971,climate_change,kt CO2eq per M.EUR,0.6910745982433579,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Metal Products,0.2076357094177287,climate_change,kt CO2eq per M.EUR,1.663262562506774,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Minerals and Metals,0.7139391167632959,climate_change,kt CO2eq per M.EUR,0.2650777914575547,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Natural gas and gaseous fuels,0.0008261458958359483,climate_change,kt CO2eq per M.EUR,15.74756034714391,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Non-metallic mineral products,0.02513648093421239,climate_change,kt CO2eq per M.EUR,1.523259090992586,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Paper Products,0.0592562951323497,climate_change,kt CO2eq per M.EUR,0.5132310806774895,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Services,6.391594539299416,climate_change,kt CO2eq per M.EUR,0.06103909109590269,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,"Steam, hot water supply and water distribution",1.156325370657211e-06,climate_change,kt CO2eq per M.EUR,7.740916800732015,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Brazil,Textile,0.1169638084499511,climate_change,kt CO2eq per M.EUR,0.4102970947425215,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
