indicator,unit,layer,origin,value,share_of_total_pct
land_use,km2,0,domestic,0.00035489266409938154,0.25314190110971047
land_use,km2,0,imported,0.13984025580544332,99.74685809889029
land_use,km2,1,domestic,146.5638160855617,12.683763459024217
land_use,km2,1,imported,1008.9592789252081,87.31623654097578
land_use,km2,2,domestic,169.90259761018862,13.470387772969527
land_use,km2,2,imported,1091.4018315846795,86.52961222703047
land_use,km2,3,domestic,41.80007195332004,3.9776556330768957
land_use,km2,3,imported,1009.0719946409869,96.0223443669231
land_use,km2,4,domestic,12.645233888040675,2.0267713019356295
land_use,km2,4,imported,611.2650156780591,97.97322869806436
land_use,km2,5,domestic,3.583772263135895,1.0459155992677454
land_use,km2,5,imported,339.0607265515797,98.95408440073227
land_use,km2,6,domestic,1.037081448307486,0.556636357518959
land_use,km2,6,imported,185.27511938060854,99.44336364248106
land_use,km2,7,domestic,0.31162142889964983,0.3055537375132967
land_use,km2,7,imported,101.67418029479522,99.69444626248671
land_use,km2,8,domestic,0.09861814388402902,0.17475439555412012
land_use,km2,8,imported,56.333807244516414,99.82524560444587
land_use,km2,9,domestic,0.03342066621360353,0.10574541987153081
land_use,km2,9,imported,31.57141503655821,99.89425458012846
land_use,km2,10,domestic,0.01233944964378406,0.06889156784353814
land_use,km2,10,imported,17.899068332232485,99.93110843215646
land_use,km2,11,domestic,0.00501705210941931,0.048873650669598985
land_use,km2,11,imported,10.260334606059388,99.9511263493304
land_use,km2,12,domestic,0.0022429747362594935,0.03772863312611133
land_use,km2,12,imported,5.942776895880707,99.96227136687388
land_use,km2,13,domestic,0.0010881944129191587,0.03130136701379105
land_use,km2,13,imported,3.4754194368343416,99.9686986329862
land_use,km2,14,domestic,0.0005624173600615568,0.02741465461652622
land_use,km2,14,imported,2.0509584495944977,99.97258534538348
land_use,km2,15,domestic,0.0003042904781343209,0.024918250124975474
land_use,km2,15,imported,1.2208507930777999,99.97508174987503
land_use,km2,16,domestic,0.00017003533114550516,0.023192840950645877
land_use,km2,16,imported,0.7329671060278565,99.97680715904936
land_use,km2,17,domestic,9.721885342274495e-05,0.021891567684518536
land_use,km2,17,imported,0.4439954784982475,99.97810843231548
land_use,km2,18,domestic,5.6524459034994426e-05,0.02080447766931118
land_use,km2,18,imported,0.27163719423679183,99.9791955223307
land_use,km2,19,domestic,3.328393358158904e-05,0.01978719695001234
land_use,km2,19,imported,0.16817615808932346,99.98021280304998
land_use,km2,20,domestic,1.97960525433073e-05,0.018723981420571006
land_use,km2,20,imported,0.1057058618545857,99.98127601857942
material_extraction,kt,0,domestic,1.8549205116275895,0.7411760995020038
material_extraction,kt,0,imported,248.4122579462194,99.25882390049799
material_extraction,kt,1,domestic,1436.9886565111894,74.24717577149231
material_extraction,kt,1,imported,498.4232181892766,25.752824228507695
material_extraction,kt,2,domestic,356.5966361705056,45.50007819435556
material_extraction,kt,2,imported,427.1308876532725,54.49992180564445
material_extraction,kt,3,domestic,104.3621801468994,19.745172864876398
material_extraction,kt,3,imported,424.18310462264316,80.25482713512359
material_extraction,kt,4,domestic,32.41846773585535,10.89254914237998
material_extraction,kt,4,imported,265.2021104419727,89.10745085762001
material_extraction,kt,5,domestic,9.925883066696574,5.64579771498963
material_extraction,kt,5,imported,165.88422504864184,94.35420228501036
material_extraction,kt,6,domestic,3.0755497732017543,2.925272438422518
material_extraction,kt,6,imported,102.06165839945908,97.07472756157749
material_extraction,kt,7,domestic,0.9736310682521936,1.5456665252623705
material_extraction,kt,7,imported,62.0173862268221,98.45433347473762
material_extraction,kt,8,domestic,0.3195283235285326,0.8473465655365653
material_extraction,kt,8,imported,37.389755755081936,99.15265343446345
material_extraction,kt,9,domestic,0.11030714928376736,0.4888864108660149
material_extraction,kt,9,imported,22.45263320497336,99.51111358913398
material_extraction,kt,10,domestic,0.040621938019002816,0.3006581604155331
material_extraction,kt,10,imported,13.470382706877421,99.69934183958448
