scope,consuming_country_iso3,model,analysis_year,indicator,unit,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,value
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_GLAS,Manufacture of glass and glass products,Non-metallic mineral products,0.4464662977443076
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_CRMC,Manufacture of ceramic goods,Non-metallic mineral products,0.6340155036707146
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_BRIK,"Manufacture of bricks, tiles and construction products, in baked clay",Non-metallic mineral products,0.3092149034019136
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_CMNT,"Manufacture of cement, lime and plaster",Non-metallic mineral products,7.569047736024689
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_ONMM,Manufacture of other non-metallic mineral products n.e.c.,Non-metallic mineral products,0.6426130319244003
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_STEL,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Metal Products,19.299243040335195
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_STEW,Re-processing of secondary steel into new steel,Metal Products,1.6149511143391762
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_PREM,Precious metals production,Metal Products,0.00818143630704158
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_ALUM,Aluminium production,Metal Products,1.544841835273712
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_LZTP,"Lead, zinc and tin production",Metal Products,0.02222571822102997
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_COPP,Copper production,Metal Products,0.19395271757189309
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_ONFM,Other non-ferrous metal production,Metal Products,0.1772096773234335
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_METC,Casting of metals,Metal Products,3.5127556796641866
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_FABM,"Manufacture of fabricated metal products, except machinery and equipment (28)",Metal Products,1.0514279612515047
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_MACH,Manufacture of machinery and equipment n.e.c. (29),General and special Machinery,1.8941959986971
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_OFMA,Manufacture of office machinery and computers (30),General and special Machinery,2.4847809786649067
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_MOTO,"Manufacture of motor vehicles, trailers and semi-trailers (34)",Transport Equipment,0.3042448567748048
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_OTRE,Manufacture of other transport equipment (35),Transport Equipment,0.04967349933441198
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_FURN,Manufacture of furniture; manufacturing n.e.c. (36),Furniture and timber,0.004213166733319902
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_RYMS,Recycling of waste and scrap,Waste management and disposal,0.005942314550070804
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_POWC,Production of electricity by coal,Electricity,1.0682745654742613e-06
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_POWG,Production of electricity by gas,Electricity,9.827789014457684
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_POWH,Production of electricity by hydro,Electricity,0.0003051850087791803
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_POWW,Production of electricity by wind,Electricity,0.000300420292466539
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_POWP,Production of electricity by petroleum and other oil derivatives,Electricity,0.083879130924331
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_POWB,Production of electricity by biomass and waste,Electricity,1.11528882381335
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,AUT,Austria,Europe,A_POWZ,Production of electricity nec,Electricity,2.304732921954989e-09
