scope,consuming_country_iso3,model,analysis_year,indicator,unit,sector_code,sector_name,sector_group,national,healthcare,healthcare_vs_sector_ratio_pct,sector_share_of_national_pct
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_LETH,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Textile,499.4967923205949,0.7917125864762776,0.15850203617886863,0.8322740856155797
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_LZTO,"Mining of lead, zinc and tin ores and concentrates",Minerals and Metals,0.09926507699195328,0.0034047588564788908,3.429966469229546,0.00016539796142276783
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_LZTP,"Lead, zinc and tin production",Metal Products,11.391287050954485,0.1241156344005327,1.0895663838980598,0.0189804482432646
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_LZTW,"Re-processing of secondary lead into new lead, zinc and tin",Metal Products,0.0,0.0,,0.0
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_MACH,Manufacture of machinery and equipment n.e.c. (29),General and special Machinery,1009.6684366002427,2.189472241697904,0.216850617720635,1.6823348773519868
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_MANB,"Manure treatment (biogas), storage and land application",Food and catering,0.0,0.0,,0.0
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_MANC,"Manure treatment (conventional), storage and land application",Food and catering,0.0,0.0,,0.0
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_MARE,Renting of machinery and equipment without operator and of personal and household goods (71),Services,17.164645402208848,1.33262236012192,7.763762832819316,0.028600162757141324
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_MDIA,"Publishing, printing and reproduction of recorded media (22)",Paper Products,28.30720435696282,0.4575519290856778,1.6163797855690833,0.04716617400698611
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_MEIN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)","Electrical, electronic and measuring equipment",0.7636207636214059,921.2258344759766,120639.18090796041,0.0012723640723445583
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_METC,Casting of metals,Metal Products,1.5326755144496025,0.10917546709715235,7.123195096932063,0.0025537823904887087
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_MILK,Raw milk,Food and catering,69.51924418923616,0.19934554932122642,0.28674872928507983,0.11583470861039426
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_MOTO,"Manufacture of motor vehicles, trailers and semi-trailers (34)",Transport Equipment,2195.8302538137355,0.15821428369358287,0.007205214675350931,3.6587474529503625
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_NFER,N-fertiliser,Chemical,9.59510918986331,0.25016109189832003,2.607172956015978,0.015987611632648054
