consuming_country_iso3,model,analysis_year,indicator,unit,scope,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,value,component_type
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,POWS,Production of electricity by solar photovoltaic,Electricity,1.0375071088877686e-08,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,POWE,Production of electricity by solar thermal,Electricity,1.542375632728694e-09,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,POWZ,Production of electricity nec,Electricity,0.0006018997556278,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,POWT,Transmission of electricity,Electricity,4.941485051047815e-05,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,POWD,Distribution and trade of electricity,Electricity,7.818153026664295e-05,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,ESP,Spain,Europe,HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",2.639396219035461e-05,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,POWC,Production of electricity by coal,Electricity,0.0119453517211475,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,POWG,Production of electricity by gas,Electricity,0.0049984371658747,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,POWN,Production of electricity by nuclear,Electricity,3.583632681727803e-05,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,POWH,Production of electricity by hydro,Electricity,3.850701862661615e-05,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,POWW,Production of electricity by wind,Electricity,7.371878260132177e-05,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,POWP,Production of electricity by petroleum and other oil derivatives,Electricity,0.0002529143608674,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,POWB,Production of electricity by biomass and waste,Electricity,0.0001799654270299,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,POWS,Production of electricity by solar photovoltaic,Electricity,3.204083256939033e-05,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,POWZ,Production of electricity nec,Electricity,0.0049265529450708,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,POWT,Transmission of electricity,Electricity,0.002811273897362,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,POWD,Distribution and trade of electricity,Electricity,8.097539419198455e-08,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FIN,Finland,Europe,HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",0.205423257322636,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FRA,France,Europe,POWC,Production of electricity by coal,Electricity,8.309660775464297e-07,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FRA,France,Europe,POWG,Production of electricity by gas,Electricity,1.0382468596196364e-09,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FRA,France,Europe,POWN,Production of electricity by nuclear,Electricity,3.2939584937924525e-10,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FRA,France,Europe,POWH,Production of electricity by hydro,Electricity,1.3512749658699508e-10,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FRA,France,Europe,POWW,Production of electricity by wind,Electricity,1.0453927516616366e-09,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FRA,France,Europe,POWP,Production of electricity by petroleum and other oil derivatives,Electricity,1.917231900718848e-10,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FRA,France,Europe,POWB,Production of electricity by biomass and waste,Electricity,1.3951864181127056e-11,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,FRA,France,Europe,POWZ,Production of electricity nec,Electricity,1.37424225835551e-14,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,GRC,Greece,Europe,POWC,Production of electricity by coal,Electricity,0.0104832786884947,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,GRC,Greece,Europe,POWG,Production of electricity by gas,Electricity,0.0025375089584666,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,GRC,Greece,Europe,POWH,Production of electricity by hydro,Electricity,4.4645530583661556e-08,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,GRC,Greece,Europe,POWW,Production of electricity by wind,Electricity,2.1111991405471847e-08,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,GRC,Greece,Europe,POWP,Production of electricity by petroleum and other oil derivatives,Electricity,0.0022599418218891,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,GRC,Greece,Europe,POWB,Production of electricity by biomass and waste,Electricity,1.4154791804197204e-08,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,GRC,Greece,Europe,POWS,Production of electricity by solar photovoltaic,Electricity,9.621852577468106e-07,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,GRC,Greece,Europe,POWT,Transmission of electricity,Electricity,5.2068180266519306e-05,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,GRC,Greece,Europe,HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",0.4039924158190306,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,HRV,Croatia,Europe,POWC,Production of electricity by coal,Electricity,0.3230881604727103,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,HRV,Croatia,Europe,POWG,Production of electricity by gas,Electricity,0.0226882584451852,MRIO supply-chain node
DNK,EXIOBASE v3.8.2 IOT_2016_ixi,2016,climate_change,kt CO2eq,Scope 2,HRV,Croatia,Europe,POWH,Production of electricity by hydro,Electricity,0.0029945953088462,MRIO supply-chain node
